"String","Site","Zone","Functional_Group","FG_MaxN","FG_Biomass_kg","FG_SpeciesRichness","FG_MeanTR","StringTotalMaxN","StringTotalBiomass_kg","FG_PercentMaxN","FG_PercentBiomass"
"PAL22_22","S3","PNMS South","Apex Pelagic Predator",1,36.64629,1,4.5,15,37.02705,6.66666666666667,98.9716707110072
"PAL22_22","S3","PNMS South","Oceanic Omnivore",1,0.34695,1,3.8,15,37.02705,6.66666666666667,0.937017666813856
"PAL22_22","S3","PNMS South","Pelagic Macropredator",2,0.00995,1,3.8,15,37.02705,13.3333333333333,0.0268722461011612
"PAL22_22","S3","PNMS South","Zooplanktivore",11,0.02386,3,3.91818181818182,15,37.02705,73.3333333333333,0.0644393760777594
"PAL22_23","S4","PNMS South","Oceanic Omnivore",2,0.79997,1,3.5,4,0.80682,50,99.1509878287598
"PAL22_23","S4","PNMS South","Pelagic Macropredator",1,0.00225,1,3.8,4,0.80682,25,0.278872610991299
"PAL22_23","S4","PNMS South","Zooplanktivore",1,0.0046,1,4,4,0.80682,25,0.570139560248878
"PAL22_24","S4","PNMS South","Oceanic Omnivore",1,0.36612,1,3.5,12,0.42176,8.33333333333333,86.8076631259484
"PAL22_24","S4","PNMS South","Pelagic Macropredator",2,0.01615,1,3.8,12,0.42176,16.6666666666667,3.82919195751138
"PAL22_24","S4","PNMS South","Zooplanktivore",9,0.03949,1,4,12,0.42176,75,9.36314491654021
"PAL22_25","S4","PNMS South","Apex Pelagic Predator",1,2.42089,1,4.5,10,26.17467,10,9.24898002534511
"PAL22_25","S4","PNMS South","Pelagic Macropredator",4,23.742,2,4.25,10,26.17467,40,90.7060146317031
"PAL22_25","S4","PNMS South","Zooplanktivore",5,0.01178,1,4,10,26.17467,50,0.0450053429517927
"PAL22_26","S1","PNMS South","Pelagic Macropredator",7,16.0986,2,4.14285714285714,25,16.1876,28,99.4501964466629
"PAL22_26","S1","PNMS South","Zooplanktivore",18,0.089,2,3.94444444444444,25,16.1876,72,0.549803553337122
"PAL22_27","S1","PNMS South","Zooplanktivore",51,0.33118,2,3.99019607843137,51,0.33118,100,100
"PAL22_28","S1","PNMS South","Zooplanktivore",40,0.25461,2,3.9875,40,0.25461,100,100
"PAL22_4","N3","PNMS North","Oceanic Omnivore",5,2.52892,1,3.5,6,2.67119,83.3333333333333,94.6739093812121
"PAL22_4","N3","PNMS North","Pelagic Macropredator",1,0.14227,1,4.3,6,2.67119,16.6666666666667,5.32609061878788
"PAL22_5","N3","PNMS North","Oceanic Omnivore",26,7.38945,1,3.5,26,7.38945,100,100
"PAL22_6","N3","PNMS North","Oceanic Omnivore",5,3.71551,1,3.5,60,8.85209,8.33333333333333,41.9732515146141
"PAL22_6","N3","PNMS North","Pelagic Macropredator",3,2.1811,2,4.36666666666667,60,8.85209,5,24.6393789489262
"PAL22_6","N3","PNMS North","Zooplanktivore",52,2.95548,2,3.99038461538462,60,8.85209,86.6666666666667,33.3873695364598
"PAL22_7","N4","PNMS North","Oceanic Omnivore",1,1.96412,1,3.5,1,1.96412,100,100
"PAL22_9","W1","DFZ West","Oceanic Omnivore",3,0.44699,3,3.5,5,0.45027,60,99.2715481822018
"PAL22_9","W1","DFZ West","Zooplanktivore",2,0.00328,2,3.75,5,0.45027,40,0.72845181779821
