Sample_ID,String,Exped,Family,Binomial,Common name,MaxN,Biomass,Wt,a,b,Length,TR,VUL-F,PD,VUL-C,IUCN,Period time (mins)
PAL14_006,PAL14_02,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,2,3.3,1.6,0.0501,2.71,3.63,4.5,45,0.5,71.83098592,LC,55.0972
PAL14_006,PAL14_02,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,10,44.5,4.5,0.0089,3.139,7.24,4,20,0.0501,-,LC,70.4099
PAL14_006,PAL14_02,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.9,3.9,0.0144,3.076,6.19,3.786503253,49.14460877,0.618913162,-,-,105.0705
PAL14_006,PAL14_02,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,3,0.4222,0.14,0.02,3.01,1.91,3.52,15,0.51615,-,LC,58.4488
PAL14_007,PAL14_02,Palau 2014,Carangidae,Carangidae sp,jacks,2,1.8,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,108.416
PAL14_007,PAL14_02,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,3,40,13.3,0.0501,2.71,7.85,4.5,45,0.5,71.83098592,LC,113.2053
PAL14_007,PAL14_02,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,15,635,42.4,0.0089,3.139,14.84,4,20,0.0501,-,LC,21.0087
PAL14_007,PAL14_02,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.2,3.2,0.0144,3.076,5.78,3.786503253,49.14460877,0.618913162,-,-,19.3273
PAL14_008,PAL14_03,Palau 2014,Carangidae,Elagatis bipinnulata,rainbow runner,8,8 909,1 114,0.01,2.85,45.42,4.3,51,1,73.66932362,LC,19.486
PAL14_008,PAL14_03,Palau 2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,4,56 460,14 115,0.0023,3.373,103.31,4.1,85,0.5,-,NT,18.9593
PAL14_008,PAL14_03,Palau 2014,Sphyrnidae,Sphyrna lewini,scalloped hammerhead,1,18 194,18 194,0.011,2.79,169.38,4.1,81,0.5029,61.66666667,CR,141.222
PAL14_010,PAL14_03,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16 364,16 364,0.0154,2.922,115.46,4.5,79,0.5,76.31578947,VU,4.66
PAL14_013,PAL14_04,Palau 2014,Balistidae,Balistidae sp,triggerfishes,1,0.1,0.13,0.0193,2.8962,1.86,3.38,-,-,-,-,41.7405
PAL14_013,PAL14_04,Palau 2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,43 562,43 562,0.0023,3.373,144.29,4.1,85,0.5,-,NT,140.5887
PAL14_013,PAL14_04,Palau 2014,Scombridae,Acanthocybium solandri,wahoo,1,10 148,10 148,0.0016,3.275,119.41,4.3,46,1,76.06382979,LC,16.1233
PAL14_013,PAL14_04,Palau 2014,Scombridae,Grammatorcynus sp,mackerel,1,1 934,1 934,0.0045,3,71.77,4.3,49,0.75,-,LC,145.381
PAL14_016,PAL14_04,Palau 2014,Carangidae,Carangidae sp,jacks,2,1.8,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,35.5572
PAL14_021,PAL14_05,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,11.9,11.9,0.0144,3.076,8.87,3.786503253,49.14460877,0.618913162,-,-,99.8447
PAL14_021,PAL14_05,Palau 2014,Carangidae,Carangidae sp,jacks,3,2.7,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,153.394
PAL14_021,PAL14_05,Palau 2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,21 442,21 442,0.0023,3.373,116.94,4.1,85,0.5,-,NT,53.768
PAL14_022,PAL14_05,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,2,23.8,11.9,0.0144,3.076,8.87,3.786503253,49.14460877,0.618913162,-,-,138.7726
PAL14_022,PAL14_05,Palau 2014,Carangidae,Carangidae sp,jacks,2,1.8,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,157.7698
PAL14_022,PAL14_05,Palau 2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,61 869,61 869,0.0023,3.373,160.1,4.1,85,0.5,-,NT,58.5716
PAL14_023,PAL14_05,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,2,23.8,11.9,0.0144,3.076,8.87,3.786503253,49.14460877,0.618913162,-,-,134.9407
PAL14_023,PAL14_05,Palau 2014,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.9952,1,0.02,3.01,3.67,3.44,19,0.5313,-,LC,57.152
PAL14_024,PAL14_05,Palau 2014,Blenniidae,Aspidontus dussumieri,lance blenny,1,0.5,0.46,0.0055,3.05,4.28,2,23,0.625,-,LC,55.988
PAL14_024,PAL14_05,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.4334,0.43,0.02,3.01,2.78,3.52,15,0.51615,-,LC,20.0773
PAL14_025,PAL14_05,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.117,0.12,0.02,3.01,1.8,3.52,15,0.51615,-,LC,79.2533
PAL14_026,PAL14_06,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,4,5,1.2,0.0501,2.71,3.27,4.5,45,0.5,71.83098592,LC,110.6993
PAL14_026,PAL14_06,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,15 125,15 125,0.0154,2.922,112.39,4.5,79,0.5,76.31578947,VU,96.6166
PAL14_026,PAL14_06,Palau 2014,Fistulariidae,Fistulariidae sp,cornetfishes,2,5,2.5,0.0003,3.1817,17.3,4.3,63.945,0.625,-,-,34.8805
PAL14_026,PAL14_06,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,3,11.6,3.9,0.0144,3.076,6.16,3.786503253,49.14460877,0.618913162,-,-,146.9521
PAL14_026,PAL14_06,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.7512,0.75,0.02,3.01,3.34,3.52,15,0.51615,-,LC,28.0189
PAL14_027,PAL14_06,Palau 2014,Carangidae,Carangidae sp,jacks,5,4.6,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,141.3832
PAL14_027,PAL14_06,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,3,3.4,1.1,0.0501,2.71,3.15,4.5,45,0.5,71.83098592,LC,114.7554
PAL14_027,PAL14_06,Palau 2014,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,2,4.3,2.1,0.0059,3.231,6.21,3.5,24,0.5312,-,LC,137.7638
PAL14_027,PAL14_06,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,2,4.5,2.3,0.0144,3.076,5.18,3.786503253,49.14460877,0.618913162,-,-,133.5788
PAL14_029,PAL14_06,Palau 2014,Carangidae,Carangidae sp,jacks,2,1.8,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,150.6443
PAL14_029,PAL14_06,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,4,19.9,5,0.0501,2.71,5.45,4.5,45,0.5,71.83098592,LC,31.0083
PAL14_029,PAL14_06,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,2,464,232.1,0.0089,3.139,25.52,4,20,0.0501,-,LC,58.1783
PAL14_029,PAL14_06,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,19 679,19 679,0.0154,2.922,122.98,4.5,79,0.5,76.31578947,VU,35.5155
PAL14_029,PAL14_06,Palau 2014,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,2.1,2.1,0.0059,3.231,6.21,3.5,24,0.5312,-,LC,135.7415
PAL14_029,PAL14_06,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,3,11.2,3.7,0.0144,3.076,6.1,3.786503253,49.14460877,0.618913162,-,-,157.2682
PAL14_030,PAL14_06,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,1,2.6,2.6,0.0501,2.71,4.29,4.5,45,0.5,71.83098592,LC,41.8733
PAL14_030,PAL14_06,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,2,375,187.6,0.0089,3.139,23.85,4,20,0.0501,-,LC,59.7683
PAL14_030,PAL14_06,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,17 304,17 304,0.0154,2.922,117.68,4.5,79,0.5,76.31578947,VU,100.711
PAL14_030,PAL14_06,Palau 2014,Fistulariidae,Fistularia sp,cornetfish,5,11.1,2.2,0.0003,3.182,16.44,4.3,69.5,0.625,-,LC,58.2311
PAL14_030,PAL14_06,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,4,20.6,5.1,0.0144,3.076,6.76,3.786503253,49.14460877,0.618913162,-,-,139.9771
PAL14_031,PAL14_07,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,1,3.2,3.2,0.0501,2.71,4.62,4.5,45,0.5,71.83098592,LC,86.2032
PAL14_031,PAL14_07,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,10,9.6,1,0.0089,3.139,4.44,4,20,0.0501,-,LC,63.3255
PAL14_031,PAL14_07,Palau 2014,Carangidae,Elagatis bipinnulata,rainbow runner,2,2 300,1 150,0.01,2.85,45.94,4.3,51,1,73.66932362,LC,110.8149
PAL14_031,PAL14_07,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,8,123 119,15 390,0.0154,2.922,113.06,4.5,79,0.5,76.31578947,VU,114.456
PAL14_031,PAL14_07,Palau 2014,Scombridae,Euthynnus affinis,kawakawa,1,576,576.5,0.0286,2.858,32.07,4.3,37,0.625,75,LC,108.5443
PAL14_031,PAL14_07,Palau 2014,Scombridae,Thunnus alalunga,albacore ,30,20 546,685,0.017,2.99,31.87,4.22,71,0.5039,42.21105528,NT,108.4243
PAL14_032,PAL14_07,Palau 2014,Carangidae,Carangidae sp,jacks,1,0.9,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,176.5759
PAL14_032,PAL14_07,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,63,8 069,128,0.0089,3.139,21.12,4,20,0.0501,-,LC,75.676
PAL14_032,PAL14_07,Palau 2014,Carangidae,Elagatis bipinnulata,rainbow runner,2,1 261,630,0.01,2.85,37.2,4.3,51,1,73.66932362,LC,89.8982
PAL14_032,PAL14_07,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,6,21 465,3 578,0.0154,2.922,68.62,4.5,79,0.5,76.31578947,VU,78.3755
PAL14_032,PAL14_07,Palau 2014,Scombridae,Euthynnus affinis,kawakawa,1,3 950,3 950,0.0286,2.858,62.88,4.3,37,0.625,75,LC,77.2438
PAL14_032,PAL14_07,Palau 2014,Scombridae,Thunnus alalunga,albacore ,11,7 167,652,0.017,2.99,31.35,4.22,71,0.5039,42.21105528,NT,79.6766
PAL14_033,PAL14_07,Palau 2014,Blenniidae,Aspidontus taeniatus,false cleanerfish,1,0.2,0.24,0.0055,3.05,3.46,3.8,22,0.625,-,LC,75.4799
PAL14_033,PAL14_07,Palau 2014,Carangidae,Carangidae sp,jacks,2,1.8,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,121.9877
PAL14_033,PAL14_07,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,3,9 346,3 115,0.0154,2.922,65.44,4.5,79,0.5,76.31578947,VU,3.5517
PAL14_033,PAL14_07,Palau 2014,Scombridae,Thunnus alalunga,albacore ,37,10 245,277,0.017,2.99,23.54,4.22,71,0.5039,42.21105528,NT,172.8604
PAL14_034,PAL14_07,Palau 2014,Carangidae,Carangidae sp,jacks,1,0.9,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,125.3738
PAL14_034,PAL14_07,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,5,33 749,6 750,0.0154,2.922,85.27,4.5,79,0.5,76.31578947,VU,127.3343
PAL14_035,PAL14_07,Palau 2014,Carangidae,Carangidae sp,jacks,3,2.7,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,140.4793
PAL14_035,PAL14_07,Palau 2014,Carangidae,Decapterus macarellus,mackerel scad,11,98.3,8.9,0.0078,3.14,8.52,4,20,0.0501,-,LC,148.0433
PAL14_035,PAL14_07,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,10 889,10 889,0.0154,2.922,100.43,4.5,79,0.5,76.31578947,VU,126.9067
PAL14_036,PAL14_08,Palau 2014,Carangidae,Carangidae sp,jacks,3,3.5,1.2,0.0257,2.937,3.68,3.79574374,49.40761956,0.613796318,-,-,163.5233
PAL14_036,PAL14_08,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,5,27.1,5.4,0.0501,2.71,5.64,4.5,45,0.5,71.83098592,LC,183.9207
PAL14_037,PAL14_08,Palau 2014,Carangidae,Carangidae sp,jacks,3,6.9,2.3,0.0257,2.937,4.61,3.79574374,49.40761956,0.613796318,-,-,130.294
PAL14_037,PAL14_08,Palau 2014,Echeneidae,Echeneis naucrates,live sharksucker,3,467,155.5,0.0008,3.358,38.31,3.7,54,0.7539,-,LC,20.9727
PAL14_038,PAL14_08,Palau 2014,Carangidae,Carangidae sp,jacks,3,8.7,2.9,0.0257,2.937,5.01,3.79574374,49.40761956,0.613796318,-,-,135.626
PAL14_038,PAL14_08,Palau 2014,Carangidae,Caranx sp,Caranx trevally,1,4,4,0.0257,2.9365,5.59,3.849100875,37.88363014,0.567620548,-,LC,31.2293
PAL14_038,PAL14_08,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,23,10.1,0.44,0.0089,3.139,3.46,4,20,0.0501,-,LC,121.4387
PAL14_039,PAL14_08,Palau 2014,Carangidae,Carangidae sp,jacks,2,3.1,1.6,0.0257,2.937,4.05,3.79574374,49.40761956,0.613796318,-,-,116.1073
PAL14_039,PAL14_08,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,3,29.3,9.8,0.0501,2.71,7,4.5,45,0.5,71.83098592,LC,119.224
PAL14_039,PAL14_08,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,30 915,30 915,0.0154,2.922,143.54,4.5,79,0.5,76.31578947,VU,110.2007
PAL14_039,PAL14_08,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,0.2348,0.23,0.0144,3.076,2.48,3.786503253,49.14460877,0.618913162,-,-,145.914
PAL14_040,PAL14_08,Palau 2014,Carangidae,Caranx sp,Caranx trevally,1,5.1,5.1,0.0257,2.9365,6.05,3.849100875,37.88363014,0.567620548,-,LC,52.7333
PAL14_040,PAL14_08,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,7,23.6,3.4,0.02,3.01,5.49,3.52,15,0.51615,-,LC,149.1247
PAL14_040,PAL14_08,Palau 2014,Scombridae,Sarda sp,bonito,17,21 734,1 278,0.0139,2.9357,49.09,4.365000008,44.172,0.5312,-,LC,69.47
PAL14_041,PAL14_09,Palau 2014,Coryphaenidae,Coryphaena hippurus,common dolphinfish,3,5 289,1 763,0.0202,2.799,58.24,4.4,40,1,69.50897571,LC,136.428
PAL14_042,PAL14_09,Palau 2014,Sphyraenidae,Sphyraena barracuda,great barracuda,1,1 696,1 696,0.0038,3.086,60.01,4.5,79,0.5,51.69215292,LC,104.416
PAL14_043,PAL14_09,Palau 2014,Carangidae,Carangidae sp,jacks,1,0.8,0.82,0.0257,2.937,3.26,3.79574374,49.40761956,0.613796318,-,-,46.052
PAL14_043,PAL14_09,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,7 018,7 018,0.0154,2.922,86.41,4.5,79,0.5,76.31578947,VU,50.3027
PAL14_043,PAL14_09,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.5006,0.5,0.02,3.01,2.91,3.52,15,0.51615,-,LC,129.38
PAL14_044,PAL14_09,Palau 2014,Carangidae,Carangidae sp,jacks,32,34.2,1.1,0.0257,2.937,3.56,3.79574374,49.40761956,0.613796318,-,-,126.0587
PAL14_044,PAL14_09,Palau 2014,Carangidae,Caranx sp,Caranx trevally,1,2.2,2.2,0.0257,2.9365,4.53,3.849100875,37.88363014,0.567620548,-,LC,43.8987
PAL14_044,PAL14_09,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,1,0.9134,0.91,0.02,3.01,3.56,3.52,15,0.51615,-,LC,48.156
PAL14_045,PAL14_09,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,1,5.4,5.4,0.02,3.01,6.44,3.52,15,0.51615,-,LC,77.5747
PAL14_046,PAL14_10,Palau 2014,Carangidae,Carangidae sp,jacks,1,0.9,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,41.5147
PAL14_046,PAL14_10,Palau 2014,Carangidae,Caranx sp,Caranx trevally,5,32.1,6.4,0.0257,2.9365,6.56,3.849100875,37.88363014,0.567620548,-,LC,176.1647
PAL14_046,PAL14_10,Palau 2014,Echeneidae,Echeneis naucrates,live sharksucker,1,693,693.2,0.0008,3.358,59.78,3.7,54,0.7539,-,LC,175.8
PAL14_046,PAL14_10,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,1,1.6,1.6,0.02,3.01,4.25,3.52,15,0.51615,-,LC,41.512
PAL14_047,PAL14_10,Palau 2014,Balistidae,Pseudobalistes fuscus,yellow-spotted triggerfish,1,617,616.6,0.0726,2.76,26.53,4,41,0.625,-,NE,81.6307
PAL14_047,PAL14_10,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,182,362,2,0.0089,3.139,5.6,4,20,0.0501,-,LC,133.9313
PAL14_047,PAL14_10,Palau 2014,Echeneidae,Echeneis naucrates,live sharksucker,1,855,854.8,0.0008,3.358,63.63,3.7,54,0.7539,-,LC,166.7513
PAL14_047,PAL14_10,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,4,3.3,0.83,0.02,3.01,3.45,3.52,15,0.51615,-,LC,60.06
PAL14_048,PAL14_10,Palau 2014,Balistidae,Pseudobalistes fuscus,yellow-spotted triggerfish,4,4 085,1 021,0.0726,2.76,31.85,4,41,0.625,-,NE,65.8373
PAL14_048,PAL14_10,Palau 2014,Carangidae,Caranx sp,Caranx trevally,4,74.1,18.5,0.0257,2.9365,9.41,3.849100875,37.88363014,0.567620548,-,LC,149.4227
PAL14_048,PAL14_10,Palau 2014,Carcharhinidae,Carcharhinus galapagensis,Galapagos shark ,1,125 404,125 404,0.0043,3.1,207.26,4.29,84,0.5,-,NT,47.476
PAL14_048,PAL14_10,Palau 2014,Echeneidae,Echeneis naucrates,live sharksucker,1,845,844.9,0.0008,3.358,63.41,3.7,54,0.7539,-,LC,157.0233
PAL14_049,PAL14_10,Palau 2014,Carangidae,Caranx sp,Caranx trevally,1,3.3,3.3,0.0257,2.9365,5.22,3.849100875,37.88363014,0.567620548,-,LC,40.164
PAL14_049,PAL14_10,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,88,64.8,0.74,0.0089,3.139,4.08,4,20,0.0501,-,LC,119.6033
PAL14_049,PAL14_10,Palau 2014,Echeneidae,Echeneis naucrates,live sharksucker,1,458,458.2,0.0008,3.358,52.85,3.7,54,0.7539,-,LC,149.0207
PAL14_050,PAL14_10,Palau 2014,Carangidae,Caranx sp,Caranx trevally,2,18.2,9.1,0.0257,2.9365,7.38,3.849100875,37.88363014,0.567620548,-,LC,105.388
PAL14_050,PAL14_10,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,145,121,0.84,0.0089,3.139,4.25,4,20,0.0501,-,LC,86.664
PAL14_050,PAL14_10,Palau 2014,Echeneidae,Echeneis naucrates,live sharksucker,1,672,672.1,0.0008,3.358,59.24,3.7,54,0.7539,-,LC,0.046
PAL14_051,PAL14_11,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,36,96.1,2.7,0.0089,3.139,6.15,4,20,0.0501,-,LC,138.1453
PAL14_051,PAL14_11,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,2,9.9,5,0.02,3.01,6.24,3.52,15,0.51615,-,LC,148.9853
PAL14_052,PAL14_11,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,172,54,0.31,0.0089,3.139,3.11,4,20,0.0501,-,LC,101.828
PAL14_052,PAL14_11,Palau 2014,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.9952,1,0.02,3.01,3.67,3.44,19,0.5313,-,LC,106.254
PAL14_053,PAL14_11,Palau 2014,Carangidae,Caranx sp,Caranx trevally,1,3.1,3.1,0.0257,2.9365,5.12,3.849100875,37.88363014,0.567620548,-,LC,119.3373
PAL14_053,PAL14_11,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,2,9.2,4.6,0.02,3.01,6.09,3.52,15,0.51615,-,LC,97.4967
PAL14_054,PAL14_11,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,23,19,0.83,0.0089,3.139,4.24,4,20,0.0501,-,LC,119.856
PAL14_054,PAL14_11,Palau 2014,Scombridae,Acanthocybium solandri,wahoo,1,4 401,4 401,0.0016,3.275,92.52,4.3,46,1,76.06382979,LC,9.0153
PAL14_056,PAL14_12,Palau 2014,Carangidae,Elagatis bipinnulata,rainbow runner,26,25 753,990,0.01,2.85,43.59,4.3,51,1,73.66932362,LC,103.4443
PAL14_056,PAL14_12,Palau 2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,28 917,28 917,0.0023,3.373,127.78,4.1,85,0.5,-,NT,102.9588
PAL14_056,PAL14_12,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,23 098,23 098,0.0154,2.922,129.91,4.5,79,0.5,76.31578947,VU,70.7099
PAL14_056,PAL14_12,Palau 2014,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,1.3,1.3,0.0059,3.231,5.38,3.5,24,0.5312,-,LC,37.4377
PAL14_058,PAL14_12,Palau 2014,Carangidae,Elagatis bipinnulata,rainbow runner,1,4 670,4 670,0.01,2.85,75.11,4.3,51,1,73.66932362,LC,127.7599
PAL14_059,PAL14_12,Palau 2014,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,0.7862,0.79,0.0059,3.231,4.56,3.5,24,0.5312,-,LC,150.4437
PAL14_060,PAL14_12,Palau 2014,Carangidae,Caranx sp,Caranx trevally,1,4.8,4.8,0.0257,2.9365,5.93,3.849100875,37.88363014,0.567620548,-,LC,147.8421
PAL14_060,PAL14_12,Palau 2014,Carcharhinidae,Carcharhinus sp,requiem shark,1,7 958,7 958,0.0043,3.1,86.52,4.316190476,73.76190476,0.0501,-,VU,122.4215
PAL14_060,PAL14_12,Palau 2014,Sphyraenidae,Sphyraena barracuda,great barracuda,1,2 346,2 346,0.0038,3.086,66.65,4.5,79,0.5,51.69215292,LC,58.1611
PAL14_061,PAL14_13,Palau 2014,Blenniidae,Plagiotremus tapeinosoma,piano fangblenny,1,0.7,0.66,0.0057,2.908,5.15,3.8,24,0.5005,-,LC,154.9898
PAL14_061,PAL14_13,Palau 2014,Carangidae,Caranx sp,Caranx trevally,1,2.4,2.4,0.0257,2.9365,4.67,3.849100875,37.88363014,0.567620548,-,LC,140.816
PAL14_061,PAL14_13,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,2,122 033,61 017,0.0154,2.922,181.14,4.5,79,0.5,76.31578947,VU,30.9966
PAL14_061,PAL14_13,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.5,3.5,0.0144,3.076,5.97,3.786503253,49.14460877,0.618913162,-,-,151.3548
PAL14_061,PAL14_13,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,1,2.2,2.2,0.0501,2.71,4.05,4.5,45,0.5,71.83098592,LC,140.816
PAL14_061,PAL14_13,Palau 2014,Labridae,Labridae sp,wrasses,1,135,135.2,0.0187,2.9664,20,3.485538116,29.25890385,0.541656154,-,-,154.9898
PAL14_063,PAL14_13,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,78 704,78 704,0.0154,2.922,197.63,4.5,79,0.5,76.31578947,VU,17.07
PAL14_064,PAL14_13,Palau 2014,Blenniidae,Aspidontus taeniatus,false cleanerfish,1,1.1,1.1,0.0055,3.05,5.62,3.8,22,0.625,-,LC,20.345
PAL14_064,PAL14_13,Palau 2014,Carangidae,Decapterus macarellus,mackerel scad,1,239,238.6,0.0078,3.14,24.25,4,20,0.0501,-,LC,1.5661
PAL14_064,PAL14_13,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,28 990,28 990,0.0154,2.922,140.41,4.5,79,0.5,76.31578947,VU,128.5065
PAL14_065,PAL14_13,Palau 2014,Carcharhinidae,Carcharhinus falciformis,silky shark,1,7 454,7 454,0.0154,2.922,88.22,4.5,79,0.5,76.31578947,VU,126.8854
PAL14_066,PAL14_14,Palau 2014,Fistulariidae,Fistularia sp,cornetfish,1,1.7,1.7,0.0003,3.182,15.16,4.3,69.5,0.625,-,LC,83.1913
