Sample,Zone,Site,Plankton Category,Specimen Type,Morphotype,Spec_Morph,Genetic_ID,Final_ID,Total Count,SampleBase,BRUVString
PAL22_N3_2_S_2,North,N3,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",NA,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,Chaetopteridae,NA,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,NA,6,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,NA,8,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,NA,171,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,NA,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,NA,3,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Meroplankton,Benthic_Snail,Cross-Hatched,Benthic_Snail_Cross-Hatched,Lyncina leviathan,NA,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,NA,6,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,NA,3,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,NA,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,NA,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,NA,NA,2,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Meroplankton,Benthic_Snail,Thorny,Benthic_Snail_Thorny,NA,NA,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Fish,Eggs,Fish_Eggs,NA,NA,49,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,NA,NA,20,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Jelly,2,Jelly_2,NA,NA,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,NA,NA,2,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Holoplankton,Salp,2,Salp_2,NA,NA,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_3_S_3,North,N3,Meroplankton,Benthic_Snail,Clear/Smooth Swiss Chalet,Benthic_Snail_Clear/Smooth Swiss Chalet,Buccinoidea,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,NA,5,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,NA,1535,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,NA,10,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,NA,2,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Larvaceans,NA,Larvaceans_NA,NA,Other Gelatinous,11,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,NA,27,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,NA,40,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Amphipod,Hyperiid_Small Eyes,Amphipod_Hyperiid_Small Eyes,NA,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,NA,NA,9,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Cephalopod,Squid,Cephalopod_Squid,NA,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Meroplankton,Deciduous_Larva,NA,Deciduous_Larva_NA,NA,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Fish,Eggs,Fish_Eggs,NA,NA,9,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,NA,NA,3,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Fish,Unknown Tissue 2,Fish_Unknown Tissue 2,NA,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Huge_Hairy_Egg,NA,Huge_Hairy_Egg_NA,NA,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,NA,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Holoplankton,Shrimp,1,Shrimp_1,NA,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,NA,Unknown,3,Unknown_3,NA,NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N4_1_S_1,North,N4,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,NA,46,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,NA,2,PAL22_N4_1_S,PAL22_7
