ID,String,Region,Site,Zone,Type,Site_no,Replicate,Plankton_Category,Specimen_Type,Plankton_Group,Total_Count
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Shrimp,Malacostraca,1
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Shrimp,Malacostraca,2
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Stomatopod,Crustacea,1
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Copepod,Copepoda,1
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Copepod,Copepoda,2
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Pteropod,Gastropoda,1
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Meroplankton,Echinoderm,Echinodermata,35
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Copepod,Copepoda,500
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Meroplankton,Barnacle,Gastropoda,1
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Meroplankton,Benthic_Snail,Gastropoda,34
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Meroplankton,Benthic_Snail,Gastropoda,4
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Larvaceans,Other Gelatinous,35
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Other Gelatinous,Other Gelatinous,6
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Evadne,Crustacea,256
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Meroplankton,Benthic_Snail,Gastropoda,6
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Meroplankton,Bivalve,Bivalvia,1
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Copepod,Copepoda,1
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Copepod,Copepoda,3
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Fish,Fish embryo/egg,18
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Fish,Fish embryo/egg,3
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Isopod,Crustacea,1
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Jelly,Other gelatinous,2
PAL22_N1_3_S,PAL22_3,North,N1,PNMS North,Zooplankton,1,3,Holoplankton,Pteropod,Gastropoda,5
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Copepod,Copepoda,1
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Meroplankton,Echinoderm,Echinodermata,11
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Copepod,Copepoda,58
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Pteropod,Gastropoda,2
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Pteropod,Gastropoda,18
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Pteropod,Gastropoda,11
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Meroplankton,Echinoderm,Echinodermata,150
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Krill,Malacostraca,1
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Copepod,Copepoda,154
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Pteropod,Gastropoda,8
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Meroplankton,Benthic_Snail,Gastropoda,2
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Meroplankton,Echinoderm,Echinodermata,16
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Meroplankton,Benthic_Snail,Gastropoda,3
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Other Gelatinous,Other Gelatinous,1
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Evadne,Crustacea,4
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Chaetognath,Chaetognatha,74
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Chaetognath,Chaetognatha,31
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Copepod,Copepoda,6
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Copepod,Copepoda,1
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Shrimp,Malacostraca,9
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Ascidean_Tadpole,Other Gelatinous,1
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Meroplankton,Cnidaria,Cnidaria,1
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Fish,Fish embryo/egg,7
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Fish,Fish embryo/egg,13
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Jelly,Other gelatinous,2
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Pteropod,Gastropoda,3
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Pteropod,Gastropoda,1
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Pteropod,Gastropoda,1
PAL22_N3_1_S,PAL22_4,North,N3,PNMS North,Zooplankton,3,1,Holoplankton,Shrimp,Malacostraca,7
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Copepod,Copepoda,1
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Meroplankton,Polychaete,Polycheata,1
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Copepod,Copepoda,6
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Meroplankton,Echinoderm,Echinodermata,8
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Copepod,Copepoda,171
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Pteropod,Gastropoda,1
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Meroplankton,Benthic_Snail,Gastropoda,3
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Evadne,Crustacea,6
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Chaetognath,Chaetognatha,3
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Chaetognath,Chaetognatha,1
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Shrimp,Malacostraca,1
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Amphipod,Crustacea,2
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Fish,Fish embryo/egg,49
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Fish,Fish embryo/egg,20
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Jelly,Other gelatinous,1
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Pteropod,Gastropoda,2
PAL22_N3_2_S,PAL22_5,North,N3,PNMS North,Zooplankton,3,2,Holoplankton,Salp,Other gelatinous,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Pteropod,Gastropoda,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Pteropod,Gastropoda,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Meroplankton,Echinoderm,Echinodermata,5
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Copepod,Copepoda,1535
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Meroplankton,Barnacle,Gastropoda,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Meroplankton,Benthic_Snail,Gastropoda,10
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Meroplankton,Benthic_Snail,Gastropoda,2
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Larvaceans,Other Gelatinous,11
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Evadne,Crustacea,27
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Chaetognath,Chaetognatha,40
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Amphipod,Crustacea,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Meroplankton,Benthic_Snail,Gastropoda,9
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Fish,Fish embryo/egg,9
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Fish,Fish embryo/egg,3
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Huge_Hairy_Egg,Fish embryo/egg,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Pteropod,Gastropoda,1
PAL22_N3_3_S,PAL22_6,North,N3,PNMS North,Zooplankton,3,3,Holoplankton,Shrimp,Malacostraca,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Benthic_Snail,Gastropoda,46
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Copepod,Copepoda,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Shrimp,Malacostraca,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Polychaete,Polycheata,6
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Echinoderm,Echinodermata,7
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Copepod,Copepoda,252
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,5
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Echinoderm,Echinodermata,89
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Copepod,Copepoda,770
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Barnacle,Gastropoda,4
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,5
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Benthic_Snail,Gastropoda,110
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Shrimp,Malacostraca,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Echinoderm,Echinodermata,9
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Benthic_Snail,Gastropoda,16
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Larvaceans,Other Gelatinous,25
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Other Gelatinous,Other Gelatinous,10
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Echinoderm,Echinodermata,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Evadne,Crustacea,232
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Chaetognath,Chaetognatha,22
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Chaetognath,Chaetognatha,24
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Copepod,Copepoda,6
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Copepod,Copepoda,10
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Copepod,Copepoda,4
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Shrimp,Malacostraca,30
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Krill,Malacostraca,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Shrimp,Malacostraca,4
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Amphipod,Crustacea,12
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Amphipod,Crustacea,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Barnacle,Crustacea,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Benthic_Snail,Gastropoda,3
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Benthic_Snail,Gastropoda,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Benthic_Snail,Gastropoda,3
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Benthic_Snail,Gastropoda,4
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Bivalve,Bivalvia,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Bivalve,Bivalvia,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Bivalve,Bivalvia,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Bivalve,Bivalvia,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Copepod,Copepoda,4
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Copepod,Copepoda,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Copepod,Copepoda,4
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Echinoderm,Echinodermata,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Embryo,Fish embryo/egg,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Fish,Fish embryo/egg,16
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Fish,Fish embryo/egg,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Fish,Fish embryo/egg,8
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Fish,Fish embryo/egg,13
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Jelly,Other gelatinous,3
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Jelly,Other gelatinous,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Krill,Malacostraca,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Limpet,Gastropoda,2
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Nudibranch,Gastropoda,4
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Nudibranch,Gastropoda,7
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Polychaete,Polychaeta,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Polychaete,Polychaeta,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Meroplankton,Polychaete,Polychaeta,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Polychaete,Polychaeta,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Polychaete,Polychaeta,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,7
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,1
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,4
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,5
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Pteropod,Gastropoda,4
PAL22_N4_1_S,PAL22_7,North,N4,PNMS North,Zooplankton,4,1,Holoplankton,Salp,Other gelatinous,99
