Sample,String,Site,Zone,Type,Year,Family,Binomial,Common name,MaxN,Biomass
PAL22_048,PAL22_10,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65
PAL22_049,PAL22_10,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44
PAL22_050,PAL22_10,W1,DFZ West,Fish,2022,None,None,None,0,0
PAL22_051,PAL22_11,W2,DFZ West,Fish,2022,None,None,None,0,0
PAL22_052,PAL22_11,W2,DFZ West,Fish,2022,None,None,None,0,0
PAL22_053,PAL22_11,W2,DFZ West,Fish,2022,None,None,None,0,0
PAL22_054,PAL22_11,W2,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,280.51
PAL22_055,PAL22_11,W2,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,561.03
PAL22_056,PAL22_12,W2,DFZ West,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,79.45
PAL22_056,PAL22_12,W2,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,1,0.81
PAL22_056,PAL22_12,W2,DFZ West,Fish,2022,Monacanthidae,Monacanthus sp,leatherjacket,1,3.56
PAL22_057,PAL22_12,W2,DFZ West,Fish,2022,None,None,None,0,0
PAL22_058,PAL22_12,W2,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,3,2.44
PAL22_059,PAL22_12,W2,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,209.89
PAL22_059,PAL22_12,W2,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,3,2.44
PAL22_059,PAL22_12,W2,DFZ West,Fish,2022,Carcharhinidae,Galeocerdo cuvier,tiger shark,1,334934.31
PAL22_059,PAL22_12,W2,DFZ West,Fish,2022,Scombridae,Gymnosarda unicolor,dogtooth tuna,1,981.16
PAL22_060,PAL22_12,W2,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,4.07
PAL22_060,PAL22_12,W2,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.12
PAL22_061,PAL22_13,W3,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,3,3.95
PAL22_062,PAL22_13,W3,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,3,815.56
PAL22_063,PAL22_13,W3,DFZ West,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,7.07
PAL22_064,PAL22_13,W3,DFZ West,Fish,2022,None,None,None,0,0
PAL22_065,PAL22_13,W3,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,4.04
PAL22_066,PAL22_14,W4,DFZ West,Fish,2022,Monacanthidae,Monacanthus sp,leatherjacket,1,3.56
PAL22_067,PAL22_14,W4,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,2,0.64
PAL22_068,PAL22_14,W4,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,3,16.3
PAL22_068,PAL22_14,W4,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,382.8
PAL22_069,PAL22_14,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,321.28
PAL22_070,PAL22_14,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,3,555.84
PAL22_070,PAL22_14,W4,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,2,585.7
PAL22_070,PAL22_14,W4,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.04
PAL22_071,PAL22_15,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,204.14
PAL22_072,PAL22_15,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,6,810.69
PAL22_072,PAL22_15,W4,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,1,86.58
PAL22_072,PAL22_15,W4,DFZ West,Fish,2022,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,2,62.57
PAL22_073,PAL22_15,W4,DFZ West,Fish,2022,Carangidae,Carangidae sp,jacks,17,15.9
PAL22_073,PAL22_15,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,8,1671.24
PAL22_073,PAL22_15,W4,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,13,647.44
PAL22_073,PAL22_15,W4,DFZ West,Fish,2022,Carangidae,Selar crumenophthalmus,bigeye scad,1,84.11
PAL22_073,PAL22_15,W4,DFZ West,Fish,2022,Carangidae,Seriola rivoliana,longfin yellowtail,1,53.16
PAL22_073,PAL22_15,W4,DFZ West,Fish,2022,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,1,31.28
PAL22_074,PAL22_15,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,696.73
PAL22_074,PAL22_15,W4,DFZ West,Fish,2022,Carangidae,Caranx sp,Caranx trevally,4,188.11
PAL22_074,PAL22_15,W4,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,232.41
PAL22_074,PAL22_15,W4,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,2,639.94
PAL22_074,PAL22_15,W4,DFZ West,Fish,2022,Nomeidae,Psenes cyanophrys,freckled driftfish ,37,2256.42
PAL22_075,PAL22_15,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,292.75
PAL22_075,PAL22_15,W4,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,88,4252.67
PAL22_075,PAL22_15,W4,DFZ West,Fish,2022,Carangidae,Selar crumenophthalmus,bigeye scad,7,588.79
PAL22_075,PAL22_15,W4,DFZ West,Fish,2022,Nomeidae,Psenes cyanophrys,freckled driftfish ,19,1128.41
PAL22_076,PAL22_16,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,4,723.42
PAL22_076,PAL22_16,W4,DFZ West,Fish,2022,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16176.32
PAL22_076,PAL22_16,W4,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,319.97
PAL22_076,PAL22_16,W4,DFZ West,Fish,2022,Scombridae,Thunnus sp,tuna,24,3337.9
PAL22_077,PAL22_16,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,11,1482.18
PAL22_077,PAL22_16,W4,DFZ West,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,16,1136.11
PAL22_077,PAL22_16,W4,DFZ West,Fish,2022,Nomeidae,Psenes cyanophrys,freckled driftfish ,6,350.12
PAL22_078,PAL22_16,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,175.67
PAL22_079,PAL22_16,W4,DFZ West,Fish,2022,None,None,None,0,0
PAL22_080,PAL22_16,W4,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,579.7
PAL22_081,PAL22_17,S2,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,465.23
PAL22_082,PAL22_17,S2,PNMS South,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,1,102.29
PAL22_082,PAL22_17,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.46
PAL22_083,PAL22_17,S2,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,597.02
PAL22_084,PAL22_17,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.03
PAL22_085,PAL22_17,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.12
PAL22_086,PAL22_18,S2,PNMS South,Fish,2022,None,None,None,0,0
PAL22_087,PAL22_18,S2,PNMS South,Fish,2022,None,None,None,0,0
PAL22_088,PAL22_18,S2,PNMS South,Fish,2022,None,None,None,0,0
PAL22_089,PAL22_18,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.17
PAL22_090,PAL22_18,S2,PNMS South,Fish,2022,None,None,None,0,0
PAL22_091,PAL22_19,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.04
PAL22_092,PAL22_19,S2,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,164.26
PAL22_093,PAL22_19,S2,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,183.84
PAL22_093,PAL22_19,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,3,0.13
PAL22_094,PAL22_19,S2,PNMS South,Fish,2022,None,None,None,0,0
PAL22_095,PAL22_19,S2,PNMS South,Fish,2022,None,None,None,0,0
PAL22_096,PAL22_20,S3,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.72
PAL22_097,PAL22_20,S3,PNMS South,Fish,2022,None,None,None,0,0
PAL22_098,PAL22_20,S3,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.12
PAL22_099,PAL22_20,S3,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,8.5
PAL22_100,PAL22_20,S3,PNMS South,Fish,2022,Istiophoridae,Makaira nigricans,blue marlin,1,36646.29
PAL22_101,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0
PAL22_102,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0
PAL22_103,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0
PAL22_104,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0
PAL22_105,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0
PAL22_106,PAL22_22,S3,PNMS South,Fish,2022,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,1,346.95
PAL22_107,PAL22_22,S3,PNMS South,Fish,2022,None,None,None,0,0
PAL22_108,PAL22_22,S3,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.12
PAL22_109,PAL22_22,S3,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,8,17.81
PAL22_109,PAL22_22,S3,PNMS South,Fish,2022,Carangidae,Selar crumenophthalmus,bigeye scad,2,5.93
PAL22_109,PAL22_22,S3,PNMS South,Fish,2022,Istiophoridae,Makaira nigricans,blue marlin,1,36646.29
PAL22_110,PAL22_22,S3,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,2,9.95
PAL22_111,PAL22_23,S4,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,533.31
PAL22_111,PAL22_23,S4,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,2.25
PAL22_111,PAL22_23,S4,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,1,4.6
PAL22_112,PAL22_23,S4,PNMS South,Fish,2022,None,None,None,0,0
PAL22_113,PAL22_23,S4,PNMS South,Fish,2022,None,None,None,0,0
PAL22_114,PAL22_23,S4,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,266.66
PAL22_115,PAL22_23,S4,PNMS South,Fish,2022,None,None,None,0,0
PAL22_116,PAL22_24,S4,PNMS South,Fish,2022,None,None,None,0,0
PAL22_117,PAL22_24,S4,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,2,10.03
PAL22_118,PAL22_24,S4,PNMS South,Fish,2022,None,None,None,0,0
PAL22_119,PAL22_24,S4,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,183.06
PAL22_119,PAL22_24,S4,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,6.12
PAL22_119,PAL22_24,S4,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,9,35.54
PAL22_120,PAL22_24,S4,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,183.06
PAL22_120,PAL22_24,S4,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,1,3.95
PAL22_121,PAL22_25,S4,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,4.33
PAL22_121,PAL22_25,S4,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,11.78
PAL22_121,PAL22_25,S4,PNMS South,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,3,11674.06
PAL22_121,PAL22_25,S4,PNMS South,Fish,2022,Sphyraenidae,Sphyraena barracuda,great barracuda,1,2420.89
PAL22_122,PAL22_25,S4,PNMS South,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,1,3955.85
PAL22_123,PAL22_25,S4,PNMS South,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,2,8107.76
PAL22_125,PAL22_25,S4,PNMS South,Fish,2022,None,None,None,0,0
PAL22_126,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,11,40.68
PAL22_127,PAL22_26,S1,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,2,2.44
PAL22_128,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,3,14.57
PAL22_129,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,1,3.01
PAL22_130,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,5.54
PAL22_130,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,16,42.87
PAL22_130,PAL22_26,S1,PNMS South,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,4,16078.49
PAL22_131,PAL22_27,S1,PNMS South,Fish,2022,None,None,None,0,0
PAL22_132,PAL22_27,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,13,17.46
PAL22_133,PAL22_27,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,23,80.76
PAL22_133,PAL22_27,S1,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.49
PAL22_134,PAL22_27,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,32,70.93
PAL22_135,PAL22_27,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,50,161.54
PAL22_136,PAL22_28,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,39,95.61
PAL22_137,PAL22_28,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,32,71.09
PAL22_137,PAL22_28,S1,PNMS South,Fish,2022,Molidae,Masturus lanceolatus,sharptail mola,1,134051.6
PAL22_137,PAL22_28,S1,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.09
PAL22_138,PAL22_28,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,37,65.08
PAL22_139,PAL22_28,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,10,22.74
PAL22_140,PAL22_28,S1,PNMS South,Fish,2022,None,None,None,0,0
