Sample,String,Family,Binomial,Common name,MaxN,Biomass,TR,VUL-F,PD,VUL-C,IUCN,Has fed
PAL14_052,PAL14_11,Carangidae,Decapterus sp,Decapterus scad,172,53.98374918,4,20,0.0501,-,LC,No
PAL14_052,PAL14_11,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.995161133,3.44,19,0.5313,-,LC,No
PAL14_053,PAL14_11,Carangidae,Caranx sp,Caranx trevally,1,3.109128581,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_053,PAL14_11,Nomeidae,Psenes sp,Psenes driftfish,2,9.202552196,3.52,15,0.51615,-,LC,No
PAL14_054,PAL14_11,Carangidae,Decapterus sp,Decapterus scad,23,19.02927253,4,20,0.0501,-,LC,No
PAL14_054,PAL14_11,Scombridae,Acanthocybium solandri,wahoo,1,4400.870376,4.3,46,1,76.06382979,LC,No
PAL14_056,PAL14_12,Carangidae,Elagatis bipinnulata,rainbow runner,26,25752.59856,4.3,51,1,73.66932362,LC,No
PAL14_056,PAL14_12,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,28917.49721,4.1,85,0.5,-,NT,No
PAL14_056,PAL14_12,Carcharhinidae,Carcharhinus falciformis,silky shark,1,23098.21857,4.5,79,0.5,76.31578947,VU,No
PAL14_056,PAL14_12,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,1.346479987,3.5,24,0.5312,-,LC,No
PAL14_058,PAL14_12,Carangidae,Elagatis bipinnulata,rainbow runner,1,4669.705487,4.3,51,1,73.66932362,LC,No
PAL14_059,PAL14_12,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,0.786199112,3.5,24,0.5312,-,LC,No
PAL14_060,PAL14_12,Carangidae,Caranx sp,Caranx trevally,1,4.775253733,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_060,PAL14_12,Carcharhinidae,Carcharhinus sp,requiem shark,1,7957.904615,4.316190476,73.76190476,0.0501,-,VU,No
PAL14_060,PAL14_12,Sphyraenidae,Sphyraena barracuda,great barracuda,1,2346.037007,4.5,79,0.5,51.69215292,LC,No
PAL14_061,PAL14_13,Blenniidae,Plagiotremus tapeinosoma,piano fangblenny,1,0.663392499,3.8,24,0.5005,-,LC,No
PAL14_061,PAL14_13,Carangidae,Caranx sp,Caranx trevally,1,2.375979548,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_061,PAL14_13,Carcharhinidae,Carcharhinus falciformis,silky shark,2,122033.1421,4.5,79,0.5,76.31578947,VU,No
PAL14_061,PAL14_13,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.515416339,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_061,PAL14_13,Carangidae,Caranx sexfasciatus,bigeye trevally,1,2.225239955,4.5,45,0.5,71.83098592,LC,No
PAL14_061,PAL14_13,Labridae,Labridae sp,wrasses,1,135.1959969,3.485538116,29.25890385,0.541656154,-,-,No
PAL14_063,PAL14_13,Carcharhinidae,Carcharhinus falciformis,silky shark,1,78703.80797,4.5,79,0.5,76.31578947,VU,No
PAL14_064,PAL14_13,Blenniidae,Aspidontus taeniatus,false cleanerfish,1,1.065152878,3.8,22,0.625,-,LC,No
PAL14_064,PAL14_13,Carangidae,Decapterus macarellus,mackerel scad,1,238.6101346,4,20,0.0501,-,LC,No
PAL14_064,PAL14_13,Carcharhinidae,Carcharhinus falciformis,silky shark,1,28990.38232,4.5,79,0.5,76.31578947,VU,No
PAL14_065,PAL14_13,Carcharhinidae,Carcharhinus falciformis,silky shark,1,7454.23223,4.5,79,0.5,76.31578947,VU,No
PAL14_066,PAL14_14,Fistulariidae,Fistularia sp,cornetfish,1,1.714196225,4.3,69.5,0.625,-,LC,No
PAL14_067,PAL14_14,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,1.347962118,3.5,24,0.5312,-,LC,No
PAL14_067,PAL14_14,Priacanthidae,Priacanthus sp,bigeye,1,1.028614469,3.988333333,22.485,0.5002,-,LC,No
PAL14_068,PAL14_14,Blenniidae,Plagiotremus tapeinosoma,piano fangblenny,1,0.356214968,3.8,24,0.5005,-,LC,No
PAL14_068,PAL14_14,Juvenile,Juvenile sp,juvenile,3,0.855837661,2,-,-,-,-,No
PAL14_068,PAL14_14,Nomeidae,Psenes sp,Psenes driftfish,1,1.071517644,3.52,15,0.51615,-,LC,No
PAL14_068,PAL14_14,Priacanthidae,Priacanthus sp,bigeye,3,3.085843407,3.988333333,22.485,0.5002,-,LC,No
PAL14_070,PAL14_14,Priacanthidae,Priacanthus sp,bigeye,1,1.028614469,3.988333333,22.485,0.5002,-,LC,No
PAL14_076,PAL14_16,Carangidae,Decapterus sp,Decapterus scad,2,7.030469133,4,20,0.0501,-,LC,No
PAL14_077,PAL14_16,Unknown,Unknown sp,unknown,1,1.444323889,-,-,-,-,-,No
PAL14_079,PAL14_16,Nomeidae,Psenes sp,Psenes driftfish,2,0.834093972,3.52,15,0.51615,-,LC,No
PAL14_081,PAL14_17,Carangidae,Caranx sexfasciatus,bigeye trevally,2,16.44047699,4.5,45,0.5,71.83098592,LC,No
PAL14_081,PAL14_17,Carangidae,Decapterus macarellus,mackerel scad,4,12.45139457,4,20,0.0501,-,LC,No
PAL14_081,PAL14_17,Nomeidae,Psenes sp,Psenes driftfish,1,0.601663717,3.52,15,0.51615,-,LC,No
PAL14_081,PAL14_17,Unknown,Unknown sp,unknown,1,1.444323889,-,-,-,-,-,No
PAL14_082,PAL14_17,Carangidae,Caranx sexfasciatus,bigeye trevally,1,7.898303957,4.5,45,0.5,71.83098592,LC,No
PAL14_082,PAL14_17,Carangidae,Decapterus macarellus,mackerel scad,4,4.598401125,4,20,0.0501,-,LC,No
PAL14_083,PAL14_17,Carangidae,Caranx sp,Caranx trevally,1,1.474269992,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_083,PAL14_17,Carangidae,Decapterus macarellus,mackerel scad,3,13.36684381,4,20,0.0501,-,LC,No
PAL14_084,PAL14_17,Carangidae,Carangidae sp,jacks,1,0.915128004,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_084,PAL14_17,Carangidae,Caranx sp,Caranx trevally,2,3.61481695,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_084,PAL14_17,Carangidae,Decapterus macarellus,mackerel scad,1,0.563911083,4,20,0.0501,-,LC,No
PAL14_084,PAL14_17,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.995161133,3.44,19,0.5313,-,LC,No
PAL14_085,PAL14_17,Carangidae,Carangidae sp,jacks,1,0.915128004,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_085,PAL14_17,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.995161133,3.44,19,0.5313,-,LC,No
PAL14_085,PAL14_17,Unknown,Unknown sp,unknown,1,1.444323889,-,-,-,-,-,No
PAL14_086,PAL14_18,Blenniidae,Blenniidae sp,blennies,1,7.575372108,2.303801844,18.06643216,0.542556784,-,-,No
PAL14_086,PAL14_18,Fistulariidae,Fistularia sp,cornetfish,1,1.754491907,4.3,69.5,0.625,-,LC,No
PAL14_087,PAL14_18,Carangidae,Decapterus macarellus,mackerel scad,1,8.94028464,4,20,0.0501,-,LC,No
PAL14_088,PAL14_18,Blenniidae,Plagiotremus tapeinosoma,piano fangblenny,1,0.433435145,3.8,24,0.5005,-,LC,No
PAL14_088,PAL14_18,Carangidae,Caranx sp,Caranx trevally,1,3.262355321,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_088,PAL14_18,Fistulariidae,Fistularia sp,cornetfish,1,2.629680443,4.3,69.5,0.625,-,LC,No
PAL14_089,PAL14_18,Carangidae,Caranx sexfasciatus,bigeye trevally,1,1.746269049,4.5,45,0.5,71.83098592,LC,No
PAL14_089,PAL14_18,Fistulariidae,Fistularia sp,cornetfish,4,3.952692016,4.3,69.5,0.625,-,LC,No
PAL14_090,PAL14_18,Fistulariidae,Fistularia sp,cornetfish,1,1.640469565,4.3,69.5,0.625,-,LC,No
PAL14_091,PAL14_19,Carangidae,Caranx sp,Caranx trevally,2,6.058489028,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_091,PAL14_19,Nomeidae,Psenes sp,Psenes driftfish,1,0.614614647,3.52,15,0.51615,-,LC,No
PAL14_091,PAL14_19,Sphyraenidae,Sphyraena barracuda,great barracuda,1,8914.661883,4.5,79,0.5,51.69215292,LC,No
PAL14_093,PAL14_19,Carangidae,Decapterus macarellus,mackerel scad,1,55.88453086,4,20,0.0501,-,LC,No
PAL14_096,PAL14_20,Carangidae,Carangidae sp,jacks,2,3.830891432,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_096,PAL14_20,Monacanthidae,Monacanthidae sp,leatherjackets,1,2.484295478,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_097,PAL14_20,Blenniidae,Plagiotremus tapeinosoma,piano fangblenny,1,0.394110531,3.8,24,0.5005,-,LC,No
PAL14_097,PAL14_20,Carangidae,Caranx sp,Caranx trevally,2,2.527637038,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_097,PAL14_20,Juvenile,Juvenile sp,juvenile,1,0.358913469,2,-,-,-,-,No
PAL14_097,PAL14_20,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.159200702,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_098,PAL14_20,Blenniidae,Blenniidae sp,blennies,1,7.575372108,2.303801844,18.06643216,0.542556784,-,-,No
PAL14_098,PAL14_20,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.620911548,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_099,PAL14_20,Carangidae,Caranx sp,Caranx trevally,2,6.240029187,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_100,PAL14_20,Carangidae,Decapterus sp,Decapterus scad,1,313.2905916,4,20,0.0501,-,LC,No
PAL14_100,PAL14_20,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,10297.28151,4.1,85,0.5,-,NT,No
PAL14_100,PAL14_20,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16982.87443,4.5,79,0.5,76.31578947,VU,No
PAL14_100,PAL14_20,Echeneidae,Echeneis naucrates,live sharksucker,1,8.182727515,3.7,54,0.7539,-,LC,No
PAL14_100,PAL14_20,Monacanthidae,Monacanthidae sp,leatherjackets,1,2.446254487,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_100,PAL14_20,Nomeidae,Psenes sp,Psenes driftfish,1,0.952200245,3.52,15,0.51615,-,LC,No
PAL14_101,PAL14_21,Carcharhinidae,Carcharhinus falciformis,silky shark,1,32326.57499,4.5,79,0.5,76.31578947,VU,No
PAL14_105,PAL14_21,Scombridae,Acanthocybium solandri,wahoo,1,4222.984939,4.3,46,1,76.06382979,LC,No
PAL14_106,PAL14_22,Apogonidae,Pristiapogon exostigma,narrowstripe cardinalfish,1,0.816681585,3.7,12,0.5312,-,NE,No
PAL14_106,PAL14_22,Carangidae,Decapterus sp,Decapterus scad,10,76.64077642,4,20,0.0501,-,LC,No
PAL14_106,PAL14_22,Nomeidae,Psenes sp,Psenes driftfish,1,1.857926372,3.52,15,0.51615,-,LC,No
