Sample,Zone,Site,Plankton Category,Specimen Type,Morphotype,Spec_Morph,Genetic_ID,Total Count,FunctionalGroup
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",7,Small Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",23,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",75,Small Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",624,Small Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",118,Small Crustacean Plankton
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,1,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,2,Small Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,2,Small Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,8,Small Crustacean Plankton
PAL22_N1_2_S_2,North,N1,Holoplankton,Shrimp,Lobster-Like Larva,Shrimp_Lobster-Like Larva,Caridea,1,Large Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,Chaetopteridae,5,Benthic Invertebrate Larvae
PAL22_S1_3_S_3,South,S1,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,Chaetopteridae,8,Benthic Invertebrate Larvae
PAL22_S1_3_S_3,South,S1,Meroplankton,Echinoderm,Ophiopluteus NA,Echinoderm_Ophiopluteus NA,Clypeaster reticulatus,1,Benthic Invertebrate Larvae
PAL22_S1_3_S_3,South,S1,Meroplankton,Echinoderm,Echinopluteus 3,Echinoderm_Echinopluteus 3,Clypeaster sp.,4,Benthic Invertebrate Larvae
PAL22_W1_2_S_2,West,W1,Meroplankton,Echinoderm,Echinopluteus 3,Echinoderm_Echinopluteus 3,Clypeaster sp.,5,Benthic Invertebrate Larvae
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,2,Small Crustacean Plankton
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,19,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,1360,Small Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,190,Small Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,912,Small Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,2224,Small Crustacean Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,244,Small Crustacean Plankton
PAL22_N1_3_S_3,North,N1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",1,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",2,Gelatinous Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",5,Gelatinous Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",5,Gelatinous Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",19,Gelatinous Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),Creseis sp.,5,Gelatinous Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),Creseis sp.,13,Gelatinous Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),Creseis sp.,53,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),Creseis sp.,85,Gelatinous Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,4,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,31,Gelatinous Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,55,Gelatinous Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,60,Gelatinous Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,62,Gelatinous Plankton
PAL22_N1_2_S_2,North,N1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,1,Benthic Invertebrate Larvae
PAL22_W1_2_S_2,West,W1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,7,Benthic Invertebrate Larvae
PAL22_S1_3_S_3,South,S1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,23,Benthic Invertebrate Larvae
PAL22_N1_3_S_3,North,N1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,35,Benthic Invertebrate Larvae
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,11,Copepod_11,Euryphorus sp.,1,Small Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,11,Copepod_11,Euryphorus sp.,1,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,11,Copepod_11,Euryphorus sp.,2,Small Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,1,Gelatinous Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,11,Gelatinous Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,12,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,37,Gelatinous Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,69,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,5504,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,2784,Small Crustacean Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,261,Small Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,3340,Small Crustacean Plankton
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,485,Small Crustacean Plankton
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,500,Small Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,1448,Small Crustacean Plankton
PAL22_N1_3_S_3,North,N1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,1,Benthic Invertebrate Larvae
PAL22_N1_2_S_2,North,N1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,2,Benthic Invertebrate Larvae
PAL22_S1_3_S_3,South,S1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,4,Benthic Invertebrate Larvae
PAL22_W1_1_S_1,West,W1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,8,Benthic Invertebrate Larvae
PAL22_W1_2_S_2,West,W1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,12,Benthic Invertebrate Larvae
PAL22_S1_1_S_1,South,S1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,32,Benthic Invertebrate Larvae
PAL22_N1_2_S_2,North,N1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,1,Gelatinous Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,1,Gelatinous Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,8,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,24,Gelatinous Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,27,Gelatinous Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,47,Gelatinous Plankton
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,1,Benthic Invertebrate Larvae
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,1,Benthic Invertebrate Larvae
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,2,Benthic Invertebrate Larvae
PAL22_S1_3_S_3,South,S1,Meroplankton,Benthic Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,20,Benthic Invertebrate Larvae
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,38,Benthic Invertebrate Larvae
PAL22_N1_2_S_2,North,N1,Holoplankton,Benthic Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,1,Benthic Invertebrate Larvae
PAL22_N1_1_S_1,North,N1,Holoplankton,Benthic Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,20,Benthic Invertebrate Larvae
PAL22_N1_3_S_3,North,N1,Holoplankton,Benthic Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,34,Benthic Invertebrate Larvae
PAL22_S1_3_S_3,South,S1,Holoplankton,Benthic Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,352,Benthic Invertebrate Larvae
PAL22_W1_1_S_1,West,W1,Holoplankton,Benthic Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,188,Benthic Invertebrate Larvae
PAL22_W1_2_S_2,West,W1,Holoplankton,Benthic Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,232,Benthic Invertebrate Larvae
PAL22_S1_1_S_1,South,S1,Holoplankton,Benthic Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,125,Benthic Invertebrate Larvae
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic Snail,Cross-Hatched,Benthic_Snail_Cross-Hatched,Lyncina leviathan,3,Benthic Invertebrate Larvae
PAL22_S1_1_S_1,South,S1,Holoplankton,Shrimp,5,Shrimp_5,Lysmata sp.,1,Large Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Meroplankton,Echinoderm,Echinopluteus 2,Echinoderm_Echinopluteus 2,Maretia sp.,5,Benthic Invertebrate Larvae
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,3,Benthic Invertebrate Larvae
PAL22_N1_2_S_2,North,N1,Meroplankton,Benthic Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,3,Benthic Invertebrate Larvae
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,4,Benthic Invertebrate Larvae
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,25,Benthic Invertebrate Larvae
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,68,Benthic Invertebrate Larvae
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,95,Benthic Invertebrate Larvae
PAL22_S1_3_S_3,South,S1,Meroplankton,Benthic Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,424,Benthic Invertebrate Larvae
PAL22_N1_1_S_1,North,N1,Holoplankton,Other Gelatinous,NA,Larvaceans_NA,NA,6,Gelatinous Plankton
PAL22_N1_2_S_2,North,N1,Holoplankton,Other Gelatinous,NA,Larvaceans_NA,NA,12,Gelatinous Plankton
PAL22_N1_3_S_3,North,N1,Holoplankton,Other Gelatinous,NA,Larvaceans_NA,NA,35,Gelatinous Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Other Gelatinous,NA,Larvaceans_NA,NA,412,Gelatinous Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Other Gelatinous,NA,Larvaceans_NA,NA,3768,Gelatinous Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,1,Gelatinous Plankton
PAL22_N1_3_S_3,North,N1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,6,Gelatinous Plankton
PAL22_N1_2_S_2,North,N1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,18,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,1392,Gelatinous Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,832,Gelatinous Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,126,Gelatinous Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,1052,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Meroplankton,Echinoderm,Echinopluteus 4,Echinoderm_Echinopluteus 4,Ophiuroidea,1,Benthic Invertebrate Larvae
PAL22_N1_2_S_2,North,N1,Meroplankton,Crab,Zoea,Crab_Zoea,Pilumnus sp.,3,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Meroplankton,Crab,Zoea,Crab_Zoea,Pilumnus sp.,3,Large Crustacean Plankton
PAL22_N1_1_S_1,North,N1,Meroplankton,Crab,Zoea,Crab_Zoea,Pilumnus sp.,29,Large Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,13,Copepod_13,Podoplea,1,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,13,Copepod_13,Podoplea,1,Small Crustacean Plankton
PAL22_N1_2_S_2,North,N1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,69,Small Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,648,Small Crustacean Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,107,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,960,Small Crustacean Plankton
PAL22_N1_3_S_3,North,N1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,256,Small Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,3432,Small Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,3338,Small Crustacean Plankton
PAL22_N1_2_S_2,North,N1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,11,Gelatinous Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,43,Gelatinous Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,55,Gelatinous Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,234,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,121,Gelatinous Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,552,Gelatinous Plankton
PAL22_N1_2_S_2,North,N1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,6,Gelatinous Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,67,Gelatinous Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,68,Gelatinous Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,304,Gelatinous Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,79,Gelatinous Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,2,Small Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,11,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,28,Small Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,38,Small Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,48,Small Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,Snowy,Copepod_Snowy,Sapphirina stellata,2,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,Snowy,Copepod_Snowy,Sapphirina stellata,5,Small Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,Snowy,Copepod_Snowy,Sapphirina stellata,50,Small Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,Shiny,Copepod_Shiny,Sapphirina vorax,1,Small Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,Shiny,Copepod_Shiny,Sapphirina vorax,9,Small Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,Shiny,Copepod_Shiny,Sapphirina vorax,22,Small Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Shrimp,6,Shrimp_6,Synalpheus neptunus,22,Large Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,12,Copepod_12,Temora discaudata,1,Small Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Krill,Copepodite,Krill_Copepodite,Thysanopoda sp.,6,Large Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Krill,Copepodite,Krill_Copepodite,Thysanopoda sp.,12,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Krill,Copepodite,Krill_Copepodite,Thysanopoda sp.,20,Large Crustacean Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Krill,Copepodite,Krill_Copepodite,Thysanopoda sp.,28,Large Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,1,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,2,Large Crustacean Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,7,Large Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,8,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Krill,Unknown_2,Krill_Unknown_2,Thysanopoda sp.,16,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Krill,Unknown_2,Krill_Unknown_2,Thysanopoda sp.,47,Large Crustacean Plankton
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic Snail,Moonsnail/ Bubble Pteropod,Benthic_Snail_Moonsnail/ Bubble Pteropod,Zacalantica sp.,1,Benthic Invertebrate Larvae
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,4,Amphipod_4,NA,1,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,5,Amphipod_5,NA,2,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Alien,Amphipod_Alien,NA,1,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Eyeless,Amphipod_Eyeless,NA,1,Large Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Amphipod,Hyperiid_1,Amphipod_Hyperiid_1,NA,4,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_1,Amphipod_Hyperiid_1,NA,6,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_1,Amphipod_Hyperiid_1,NA,7,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_Alien 1,Amphipod_Hyperiid_Alien 1,NA,1,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_Alien 1,Amphipod_Hyperiid_Alien 1,NA,1,Large Crustacean Plankton
PAL22_N1_2_S_2,North,N1,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,NA,1,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,NA,1,Large Crustacean Plankton
PAL22_S1_3_S_3,South,S1,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,NA,1,Large Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,NA,5,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_Baby Face,Amphipod_Hyperiid_Baby Face,NA,4,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_Baby Face,Amphipod_Hyperiid_Baby Face,NA,10,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_Big Butt,Amphipod_Hyperiid_Big Butt,NA,1,Large Crustacean Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Amphipod,Hyperiid_Big Thighs,Amphipod_Hyperiid_Big Thighs,NA,1,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_Big Thighs,Amphipod_Hyperiid_Big Thighs,NA,2,Large Crustacean Plankton
PAL22_W1_2_S_2,West,W1,Holoplankton,Amphipod,Hyperiid_Big Thighs,Amphipod_Hyperiid_Big Thighs,NA,2,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_Headless,Amphipod_Hyperiid_Headless,NA,1,Large Crustacean Plankton
PAL22_N1_1_S_1,North,N1,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,NA,2,Large Crustacean Plankton
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,NA,8,Large Crustacean Plankton
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,NA,13,Large Crustacean Plankton
