Sample,Zone,Site,Plankton Category,Specimen Type,Morphotype,Spec_Morph,Genetic_ID,Final_ID,Total Count
PAL22_W1_2_S_2,West,W1,Meroplankton,Echinoderm,Echinopluteus 3,Echinoderm_Echinopluteus 3,Clypeaster sp.,,5
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,,2
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,,19
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,,1360
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,,190
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,,912
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,,2224
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,,244
PAL22_N1_3_S_3,North,N1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",,1
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",,2
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",,5
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",,5
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",,19
PAL22_S1_3_S_3,South,S1,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),Creseis sp.,,5
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),Creseis sp.,,13
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),Creseis sp.,,53
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),Creseis sp.,,85
PAL22_S1_3_S_3,South,S1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,,4
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,,31
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,,55
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,,60
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,,62
PAL22_N1_1_S_1,North,N1,,Unknown,1,Unknown_1,Deosergestes sp.,,2
PAL22_W1_2_S_2,West,W1,,Unknown,1,Unknown_1,Deosergestes sp.,,6
PAL22_N1_2_S_2,North,N1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,,1
PAL22_W1_2_S_2,West,W1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,,7
PAL22_S1_3_S_3,South,S1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,,23
PAL22_N1_3_S_3,North,N1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,,35
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,11,Copepod_11,Euryphorus sp. ,,1
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,11,Copepod_11,Euryphorus sp. ,,1
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,11,Copepod_11,Euryphorus sp. ,,2
PAL22_S1_3_S_3,South,S1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,,1
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,,11
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,,12
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,,37
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,,69
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,,5504
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,,2784
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,,261
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,,3340
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,,485
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,,500
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,,1448
PAL22_N1_3_S_3,North,N1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,,1
PAL22_N1_2_S_2,North,N1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,,2
PAL22_S1_3_S_3,South,S1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,,4
PAL22_W1_1_S_1,West,W1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,,8
PAL22_W1_2_S_2,West,W1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,,12
PAL22_S1_1_S_1,South,S1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,,32
PAL22_N1_2_S_2,North,N1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,,1
PAL22_S1_3_S_3,South,S1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,,1
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,,8
PAL22_S1_1_S_1,South,S1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,,24
PAL22_W1_2_S_2,West,W1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,,27
PAL22_W1_1_S_1,West,W1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,,47
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,,1
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,,1
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,,2
PAL22_S1_3_S_3,South,S1,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,,20
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,,38
PAL22_N1_2_S_2,North,N1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,,1
PAL22_N1_1_S_1,North,N1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,,20
PAL22_N1_3_S_3,North,N1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,,34
PAL22_S1_3_S_3,South,S1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,,352
PAL22_W1_1_S_1,West,W1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,,188
PAL22_W1_2_S_2,West,W1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,,232
PAL22_S1_1_S_1,South,S1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,,125
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic_Snail,Cross-Hatched,Benthic_Snail_Cross-Hatched,Lyncina leviathan,,3
PAL22_S1_1_S_1,South,S1,Holoplankton,Shrimp,5,Shrimp_5,Lysmata sp.,,1
PAL22_S1_3_S_3,South,S1,Meroplankton,Echinoderm,Echinopluteus 2,Echinoderm_Echinopluteus 2,Maretia sp.,,5
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,,3
PAL22_N1_2_S_2,North,N1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,,3
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,,4
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,,25
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,,68
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,,95
PAL22_S1_3_S_3,South,S1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,,424
PAL22_N1_1_S_1,North,N1,Holoplankton,Larvaceans,NA,Larvaceans_NA,NA,Other Gelatinous,6
PAL22_N1_2_S_2,North,N1,Holoplankton,Larvaceans,NA,Larvaceans_NA,NA,Other Gelatinous,12
PAL22_N1_3_S_3,North,N1,Holoplankton,Larvaceans,NA,Larvaceans_NA,NA,Other Gelatinous,35
PAL22_W1_2_S_2,West,W1,Holoplankton,Larvaceans,NA,Larvaceans_NA,NA,Other Gelatinous,412
PAL22_S1_3_S_3,South,S1,Holoplankton,Larvaceans,NA,Larvaceans_NA,NA,Other Gelatinous,3768
PAL22_N1_1_S_1,North,N1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,1
PAL22_N1_3_S_3,North,N1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,6
PAL22_N1_2_S_2,North,N1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,18
PAL22_S1_1_S_1,South,S1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,1392
PAL22_W1_1_S_1,West,W1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,832
PAL22_S1_3_S_3,South,S1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,126
PAL22_W1_2_S_2,West,W1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,1052
PAL22_S1_1_S_1,South,S1,Meroplankton,Echinoderm,Echinopluteus 4,Echinoderm_Echinopluteus 4,Ophiuroidea,,1
PAL22_N1_2_S_2,North,N1,Meroplankton,Crab,Zoea,Crab_Zoea,Pilumnus sp.,,3
PAL22_S1_1_S_1,South,S1,Meroplankton,Crab,Zoea,Crab_Zoea,Pilumnus sp.,,3
PAL22_N1_1_S_1,North,N1,Meroplankton,Crab,Zoea,Crab_Zoea,Pilumnus sp.,,29
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,13,Copepod_13,Podoplea ,,1
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,13,Copepod_13,Podoplea ,,1
PAL22_N1_2_S_2,North,N1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,,69
PAL22_S1_1_S_1,South,S1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,,648
PAL22_N1_1_S_1,North,N1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,,107
PAL22_W1_1_S_1,West,W1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,,960
PAL22_N1_3_S_3,North,N1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,,256
PAL22_S1_3_S_3,South,S1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,,3432
PAL22_W1_2_S_2,West,W1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,,3338
PAL22_N1_2_S_2,North,N1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,,11
PAL22_N1_1_S_1,North,N1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,,43
PAL22_S1_3_S_3,South,S1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,,55
PAL22_W1_2_S_2,West,W1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,,234
PAL22_S1_1_S_1,South,S1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,,121
PAL22_W1_1_S_1,West,W1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,,552
PAL22_N1_2_S_2,North,N1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,,6
PAL22_S1_3_S_3,South,S1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,,67
PAL22_W1_2_S_2,West,W1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,,68
PAL22_S1_1_S_1,South,S1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,,304
PAL22_W1_1_S_1,West,W1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,,79
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,,2
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,,11
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,,28
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,,38
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,,48
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,Snowy,Copepod_Snowy,Sapphirina stellata,,2
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,Snowy,Copepod_Snowy,Sapphirina stellata,,5
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,Snowy,Copepod_Snowy,Sapphirina stellata,,50
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,Shiny,Copepod_Shiny,Sapphirina vorax,,1
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,Shiny,Copepod_Shiny,Sapphirina vorax,,9
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,Shiny,Copepod_Shiny,Sapphirina vorax,,22
PAL22_S1_3_S_3,South,S1,Holoplankton,Shrimp,6,Shrimp_6,Synalpheus neptunus,,22
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,12,Copepod_12,Temora discaudata,,1
PAL22_S1_1_S_1,South,S1,Holoplankton,Krill,Copepodite,Krill_Copepodite,Thysanopoda sp.,,6
PAL22_W1_2_S_2,West,W1,Holoplankton,Krill,Copepodite,Krill_Copepodite,Thysanopoda sp.,,12
PAL22_W1_1_S_1,West,W1,Holoplankton,Krill,Copepodite,Krill_Copepodite,Thysanopoda sp.,,20
PAL22_N1_1_S_1,North,N1,Holoplankton,Krill,Copepodite,Krill_Copepodite,Thysanopoda sp.,,28
PAL22_S1_3_S_3,South,S1,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,,1
PAL22_S1_1_S_1,South,S1,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,,2
PAL22_N1_1_S_1,North,N1,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,,7
PAL22_W1_2_S_2,West,W1,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,,8
PAL22_W1_1_S_1,West,W1,Holoplankton,Krill,Unknown_2,Krill_Unknown_2,Thysanopoda sp. ,,16
PAL22_S1_1_S_1,South,S1,Holoplankton,Krill,Unknown_2,Krill_Unknown_2,Thysanopoda sp. ,,47
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic_Snail,Moonsnail/ Bubble Pteropod,Benthic_Snail_Moonsnail/ Bubble Pteropod,Zacalantica sp.,,1
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,4,Amphipod_4,,,1
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,5,Amphipod_5,,,2
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Alien,Amphipod_Alien,,,1
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Eyeless,Amphipod_Eyeless,,,1
PAL22_W1_2_S_2,West,W1,Holoplankton,Amphipod,Hyperiid_1,Amphipod_Hyperiid_1,,,4
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_1,Amphipod_Hyperiid_1,,,6
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_1,Amphipod_Hyperiid_1,,,7
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_Alien 1,Amphipod_Hyperiid_Alien 1,,,1
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_Alien 1,Amphipod_Hyperiid_Alien 1,,,1
PAL22_N1_2_S_2,North,N1,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,,,1
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,,,1
PAL22_S1_3_S_3,South,S1,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,,,1
PAL22_W1_2_S_2,West,W1,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,,,5
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_Baby Face,Amphipod_Hyperiid_Baby Face,,,4
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_Baby Face,Amphipod_Hyperiid_Baby Face,,,10
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_Big Butt,Amphipod_Hyperiid_Big Butt,,,1
PAL22_N1_1_S_1,North,N1,Holoplankton,Amphipod,Hyperiid_Big Thighs,Amphipod_Hyperiid_Big Thighs,,,1
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_Big Thighs,Amphipod_Hyperiid_Big Thighs,,,2
PAL22_W1_2_S_2,West,W1,Holoplankton,Amphipod,Hyperiid_Big Thighs,Amphipod_Hyperiid_Big Thighs,,,2
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_Headless,Amphipod_Hyperiid_Headless,,,1
PAL22_N1_1_S_1,North,N1,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,,,2
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,,,8
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,,,13
PAL22_W1_2_S_2,West,W1,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,,,49
PAL22_S1_3_S_3,South,S1,Holoplankton,Amphipod,Hyperiid_Small Eyes,Amphipod_Hyperiid_Small Eyes,,,1
PAL22_W1_2_S_2,West,W1,Holoplankton,Amphipod,Hyperiid_Small Eyes,Amphipod_Hyperiid_Small Eyes,,,3
PAL22_W1_1_S_1,West,W1,Holoplankton,Amphipod,Hyperiid_Small Eyes,Amphipod_Hyperiid_Small Eyes,,,4
PAL22_S1_1_S_1,South,S1,Holoplankton,Amphipod,Hyperiid_Small Eyes,Amphipod_Hyperiid_Small Eyes,,,6
PAL22_S1_1_S_1,South,S1,Holoplankton,Ascidean_Tadpole,NA,Ascidean_Tadpole_NA,,,1
PAL22_W1_2_S_2,West,W1,Holoplankton,Ascidean_Tadpole,NA,Ascidean_Tadpole_NA,,,5
PAL22_W1_1_S_1,West,W1,Holoplankton,Ascidean_Tadpole,NA,Ascidean_Tadpole_NA,,,7
PAL22_S1_3_S_3,South,S1,Meroplankton,Barnacle,Nauplii,Barnacle_Nauplii,,,1
PAL22_S1_1_S_1,South,S1,Meroplankton,Barnacle,Nauplii,Barnacle_Nauplii,,,4
PAL22_S1_3_S_3,South,S1,Meroplankton,Benthic_Snail,1,Benthic_Snail_1,,,1
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,1,Benthic_Snail_1,,,13
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic_Snail,10,Benthic_Snail_10,,,4
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,10,Benthic_Snail_10,,,7
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,10,Benthic_Snail_10,,,21
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic_Snail,11,Benthic_Snail_11,,,1
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,14,Benthic_Snail_14,,,7
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,16,Benthic_Snail_16,,,2
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,16,Benthic_Snail_16,,,8
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,17,Benthic_Snail_17,,,4
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,17,Benthic_Snail_17,,,5
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,19,Benthic_Snail_19,,,5
PAL22_S1_3_S_3,South,S1,Meroplankton,Benthic_Snail,2,Benthic_Snail_2,,,2
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,2,Benthic_Snail_2,,,8
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,20,Benthic_Snail_20,,,2
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,20,Benthic_Snail_20,,,15
PAL22_S1_3_S_3,South,S1,Meroplankton,Benthic_Snail,3,Benthic_Snail_3,,,1
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,3,Benthic_Snail_3,,,7
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic_Snail,3,Benthic_Snail_3,,,8
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,3,Benthic_Snail_3,,,10
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,4,Benthic_Snail_4,,,1
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,5,Benthic_Snail_5,,,1
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic_Snail,5,Benthic_Snail_5,,,3
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,5,Benthic_Snail_5,,,7
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,7,Benthic_Snail_7,,,1
