Sample,Zone,Site,Type,Plankton_Category,Specimen_Type,Morphotype,Spec_Morph,Total_Count,SampleBase,BRUVString
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Fish,Eggs,Fish_Eggs,29,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Fish,Long Thin,Fish_Long Thin,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Fish,Scorpion Fish,Fish_Scorpion Fish,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Fish,Unknown Tissue 1,Fish_Unknown Tissue 1,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Meroplankton,Polychaete,Larva 1,Polychaete_Larva 1,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,25,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Pteropod,Cornucopia,Pteropod_Cornucopia,2,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Pteropod,Retroversa 2,Pteropod_Retroversa 2,3,PAL22_N1_1_S,PAL22_1
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Copepod,5,Copepod_5,5,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Shrimp,Lobster-Like Larva,Shrimp_Lobster-Like Larva,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Copepod,1,Copepod_1,19,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Copepod,2,Copepod_2,485,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,2,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,3,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Larvaceans,NA,Larvaceans_NA,12,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,18,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Meroplankton,Crab,Zoea,Crab_Zoea,3,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Evadne,NA,Evadne_NA,69,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Chaetognath,NA,Chaetognath_NA,11,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,6,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Bubble 2,Benthic_Snail_Bubble 2,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,32,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Copepod,7,Copepod_7,3,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Copepod,9,Copepod_9,8,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Copepod,Like 1 But Chunky,Copepod_Like 1 But Chunky,9,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Fish,Eggs,Fish_Eggs,44,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Fish,Huge Egg No Hair,Fish_Huge Egg No Hair,35,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Fish,Large Cloudy Eggs,Fish_Large Cloudy Eggs,2,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Fish,Myctophid,Fish_Myctophid,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,3,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Ostracod,Cypriid 1,Ostracod_Cypriid 1,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Polychaete,Pelagic 3,Polychaete_Pelagic 3,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Shrimp,8,Shrimp_8,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Holoplankton,Shrimp,Nauplii,Shrimp_Nauplii,2,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Zooplankton,Meroplankton,Stomatopod,Antizoea 3,Stomatopod_Antizoea 3,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_3_S_3,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Copepod,8,Copepod_8,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Copepod,1,Copepod_1,2,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,35,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Copepod,2,Copepod_2,500,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,34,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,4,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Larvaceans,NA,Larvaceans_NA,35,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,6,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Evadne,NA,Evadne_NA,256,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,6,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Meroplankton,Bivalve,2,Bivalve_2,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Copepod,6,Copepod_6,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Copepod,7,Copepod_7,3,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Fish,Eggs,Fish_Eggs,18,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,3,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Isopod,1,Isopod_1,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Jelly,2,Jelly_2,2,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Zooplankton,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,5,PAL22_N1_3_S,PAL22_3
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Copepod,8,Copepod_8,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Meroplankton,Echinoderm,Ophiopluteus NA,Echinoderm_Ophiopluteus NA,11,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Copepod,1,Copepod_1,58,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,2,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),18,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,11,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,150,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Krill,Shrimp_2,Krill_Shrimp_2,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Copepod,2,Copepod_2,154,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),8,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,2,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Cross-Hatched,Benthic_Snail_Cross-Hatched,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 2,Echinoderm_Echinopluteus 2,16,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,3,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Evadne,NA,Evadne_NA,4,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Chaetognath,NA,Chaetognath_NA,74,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,31,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Copepod,3,Copepod_3,6,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Copepod,Snowy,Copepod_Snowy,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Shrimp,Euphausiid_Larva_NA,Shrimp_Euphausiid_Larva_NA,9,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Ascidean_Tadpole,NA,Ascidean_Tadpole_NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Meroplankton,Cnidaria,Cerinula_Larva_NA,Cnidaria_Cerinula_Larva_NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Meroplankton,Deciduous_Larva,NA,Deciduous_Larva_NA,2,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Fish,Eggs,Fish_Eggs,7,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,13,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Jelly,2,Jelly_2,2,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,3,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Pteropod,Retroversa 2,Pteropod_Retroversa 2,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Pteropod,Striated,Pteropod_Striated,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Zooplankton,Holoplankton,Shrimp,3,Shrimp_3,7,PAL22_N3_1_S,PAL22_4
PAL22_N3_2_S_2,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Copepod,5,Copepod_5,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Copepod,1,Copepod_1,6,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,8,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Copepod,2,Copepod_2,171,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,3,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Cross-Hatched,Benthic_Snail_Cross-Hatched,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Evadne,NA,Evadne_NA,6,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Chaetognath,NA,Chaetognath_NA,3,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,2,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Thorny,Benthic_Snail_Thorny,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Fish,Eggs,Fish_Eggs,49,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,20,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Jelly,2,Jelly_2,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,2,PAL22_N3_2_S,PAL22_5
PAL22_N3_2_S_2,North,N3,Zooplankton,Holoplankton,Salp,2,Salp_2,1,PAL22_N3_2_S,PAL22_5
PAL22_N3_3_S_3,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Clear/Smooth Swiss Chalet,Benthic_Snail_Clear/Smooth Swiss Chalet,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,5,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Copepod,2,Copepod_2,1535,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,10,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,2,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Larvaceans,NA,Larvaceans_NA,11,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Evadne,NA,Evadne_NA,27,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Chaetognath,NA,Chaetognath_NA,40,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Amphipod,Hyperiid_Small Eyes,Amphipod_Hyperiid_Small Eyes,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,9,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Cephalopod,Squid,Cephalopod_Squid,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Meroplankton,Deciduous_Larva,NA,Deciduous_Larva_NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Fish,Eggs,Fish_Eggs,9,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,3,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Fish,Unknown Tissue 2,Fish_Unknown Tissue 2,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Huge_Hairy_Egg,NA,Huge_Hairy_Egg_NA,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,1,PAL22_N3_3_S,PAL22_6
PAL22_N3_3_S_3,North,N3,Zooplankton,Holoplankton,Shrimp,1,Shrimp_1,1,PAL22_N3_3_S,PAL22_6
PAL22_N4_1_S_1,North,N4,Zooplankton,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,46,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Holoplankton,Copepod,8,Copepod_8,2,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Holoplankton,Shrimp,Lobster-Like Larva,Shrimp_Lobster-Like Larva,2,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,6,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 3,Echinoderm_Echinopluteus 3,7,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Holoplankton,Copepod,1,Copepod_1,252,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,1,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),5,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,2,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,89,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Holoplankton,Copepod,2,Copepod_2,770,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,4,PAL22_N4_1_S,PAL22_7
PAL22_N4_1_S_1,North,N4,Zooplankton,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),5,PAL22_N4_1_S,PAL22_7
