String,Site,Zone,PlanktonSample,TotalMaxN,TotalBiomass_kg,SpeciesRichness,TotalPlanktonCount,Fish_Decapterus_sp,Fish_Aluterus_scriptus,Fish_Psenes_sp,Fish_Canthidermis_maculata,Fish_Caranx_sp,Fish_Monacanthus_sp,Fish_Gymnosarda_unicolor,Fish_Carangidae_sp,Fish_Selar_crumenophthalmus,Fish_Seriola_rivoliana,Fish_Aluterus_monoceros,Fish_Psenes_cyanophrys,Fish_Carcharhinus_falciformis,Fish_Thunnus_sp,Fish_Coryphaena_equiselis,Fish_Makaira_nigricans,Fish_Coryphaena_hippurus,Fish_Elagatis_bipinnulata,Fish_Balistidae_sp,Fish_Aluterus_sp,Fish_Priacanthus_sp,Plankton_Amphipod,Plankton_Benthic_Snail,Plankton_Bivalve,Plankton_Cephalopod,Plankton_Chaetognath,Plankton_Copepod,Plankton_Crab,Plankton_Evadne,Plankton_Fish,Plankton_Krill,Plankton_Larvaceans,Plankton_Other_Gelatinous,Plankton_Polychaete,Plankton_Pteropod,Plankton_Shrimp,Plankton_Unknown,Plankton_Barnacle,Plankton_Echinoderm,Plankton_Ostracod,Plankton_Stomatopod,Plankton_Isopod,Plankton_Jelly,Plankton_Ascidean_Tadpole,Plankton_Cnidaria,Plankton_Deciduous_Larva,Plankton_Embryo,Plankton_Limpet,Plankton_Nemertean,Plankton_Nudibranch,Plankton_Salp,Plankton_Sipunculan,Plankton_Bryozoan,Plankton_Porifera,Plankton_Huge_Hairy_Egg,Plankton_Platyhelminth,Plankton_Tick,Plankton_Oligochaete,Plankton_Hemichordate,Plankton_Phoronid
PAL22_2,N1,PNMS North,PAL22_N1_2_S_2,93,9.14982,3,783,13,0,1,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,1,37,0,0,17,529,3,69,85,0,12,18,1,2,4,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAL22_20,S3,PNMS South,PAL22_S3_2_S_2,3,36.655629999999995,3,3358,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,478,2,0,4,2555,1,7,144,0,11,58,5,30,9,6,6,5,1,0,3,0,0,25,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
PAL22_21,S3,PNMS South,PAL22_S3_2_S_2,0,0,0,3358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,478,2,0,4,2555,1,7,144,0,11,58,5,30,9,6,6,5,1,0,3,0,0,25,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
PAL22_23,S4,PNMS South,PAL22_S4_1_S_1,4,0.80682,3,11639,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,369,8,0,310,6357,3,1568,369,148,824,1280,11,191,44,4,5,2,6,0,0,11,17,2,0,5,5,1,75,0,10,0,3,0,1,0,0,0,0
PAL22_24,S4,PNMS South,PAL22_S4_1_S_1,12,0.42176,3,11639,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,369,8,0,310,6357,3,1568,369,148,824,1280,11,191,44,4,5,2,6,0,0,11,17,2,0,5,5,1,75,0,10,0,3,0,1,0,0,0,0
PAL22_26,S1,PNMS South,PAL22_S1_1_S_1,25,16.1876,4,14252,16,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,34,660,5,1,425,9037,58,648,339,56,0,1392,40,496,637,111,36,64,11,67,2,11,1,1,1,1,48,0,34,0,30,1,5,0,0,0,0,0,0
PAL22_27,S1,PNMS South,PAL22_S1_1_S_1,51,0.33118,2,14252,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,660,5,1,425,9037,58,648,339,56,0,1392,40,496,637,111,36,64,11,67,2,11,1,1,1,1,48,0,34,0,30,1,5,0,0,0,0,0,0
PAL22_3,N1,PNMS North,PAL22_N1_3_S_3,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,507,0,256,21,0,35,6,0,6,0,0,1,35,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAL22_4,N3,PNMS North,PAL22_N3_1_S_1,6,2.6711899999999997,2,603,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,105,220,0,4,20,1,0,1,0,44,16,3,0,177,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAL22_5,N3,PNMS North,PAL22_N3_1_S_1,26,7.38945,1,603,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,105,220,0,4,20,1,0,1,0,44,16,3,0,177,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAL22_6,N3,PNMS North,PAL22_N3_1_S_1,60,8.85209,5,603,51,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0,0,105,220,0,4,20,1,0,1,0,44,16,3,0,177,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAL22_7,N4,PNMS North,PAL22_N4_1_S_1,1,1.96412,1,1967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,184,5,0,46,1055,0,232,38,4,25,10,11,35,43,30,5,108,0,0,0,4,0,0,0,1,2,4,11,99,2,0,0,0,0,0,0,0,0
PAL22_8,N4,PNMS North,PAL22_N4_1_S_1,0,0,0,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,184,5,0,46,1055,0,232,38,4,25,10,11,35,43,30,5,108,0,0,0,4,0,0,0,1,2,4,11,99,2,0,0,0,0,0,0,0,0
PAL22_9,W1,DFZ West,PAL22_W1_1_S_1,5,0.45027,5,8529,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,36,544,30,3,631,4638,2,960,93,36,0,832,4,513,65,2,8,12,0,1,0,2,7,9,0,5,8,1,61,0,20,0,4,0,2,0,0,0,0
