BRUVString,Zone.x,Site.x,Type.x,Plankton_Category,Specimen_Type,Total_Specimens,Unique_Morphotypes,Sample,Site.y,Zone.y,Type.y,Year,Family,Binomial,Common name,MaxN,Biomass_g,Biomass_kg
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Copepod,514,4,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Copepod,514,4,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Copepod,514,4,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Evadne,107,0,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Evadne,107,0,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Evadne,107,0,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Evadne,107,0,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Evadne,107,0,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Fish,32,4,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Fish,32,4,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Fish,32,4,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Fish,32,4,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Fish,32,4,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Krill,28,1,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Krill,28,1,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Krill,28,1,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Krill,28,1,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Krill,28,1,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Larvaceans,6,0,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Larvaceans,6,0,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Larvaceans,6,0,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Larvaceans,6,0,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Larvaceans,6,0,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Other Gelatinous,1,0,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Other Gelatinous,1,0,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Other Gelatinous,1,0,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Other Gelatinous,1,0,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Other Gelatinous,1,0,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Pteropod,110,7,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Pteropod,110,7,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Pteropod,110,7,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Pteropod,110,7,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Pteropod,110,7,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Shrimp,7,1,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Shrimp,7,1,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Shrimp,7,1,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Shrimp,7,1,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Shrimp,7,1,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Benthic_Snail,6,4,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Benthic_Snail,6,4,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Benthic_Snail,6,4,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Benthic_Snail,6,4,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Benthic_Snail,6,4,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Bivalve,1,1,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Bivalve,1,1,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Bivalve,1,1,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Bivalve,1,1,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Bivalve,1,1,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Crab,29,1,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Crab,29,1,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Crab,29,1,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Crab,29,1,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Crab,29,1,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Polychaete,1,1,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Polychaete,1,1,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Polychaete,1,1,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Polychaete,1,1,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Meroplankton,Polychaete,1,1,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Amphipod,63,5,PAL22_046,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Amphipod,63,5,PAL22_047,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,0.70228
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Amphipod,63,5,PAL22_047,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,0.31501
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Amphipod,63,5,PAL22_048,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,0.27385
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Amphipod,63,5,PAL22_048,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Amphipod,63,5,PAL22_049,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44,1.11944
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Amphipod,63,5,PAL22_050,W1,DFZ West,Fish,2022,None,None,None,0,0,0
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Ascidean_Tadpole,5,0,PAL22_046,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Ascidean_Tadpole,5,0,PAL22_047,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,0.70228
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Ascidean_Tadpole,5,0,PAL22_047,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,0.31501
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Ascidean_Tadpole,5,0,PAL22_048,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,0.27385
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Ascidean_Tadpole,5,0,PAL22_048,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Ascidean_Tadpole,5,0,PAL22_049,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44,1.11944
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Ascidean_Tadpole,5,0,PAL22_050,W1,DFZ West,Fish,2022,None,None,None,0,0,0
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Benthic_Snail,232,1,PAL22_046,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Benthic_Snail,232,1,PAL22_047,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,0.70228
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Benthic_Snail,232,1,PAL22_047,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,0.31501
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Benthic_Snail,232,1,PAL22_048,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,0.27385
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Benthic_Snail,232,1,PAL22_048,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Benthic_Snail,232,1,PAL22_049,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44,1.11944
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Benthic_Snail,232,1,PAL22_050,W1,DFZ West,Fish,2022,None,None,None,0,0,0
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Chaetognath,302,1,PAL22_046,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Chaetognath,302,1,PAL22_047,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,0.70228
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Chaetognath,302,1,PAL22_047,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,0.31501
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Chaetognath,302,1,PAL22_048,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,0.27385
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Chaetognath,302,1,PAL22_048,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Chaetognath,302,1,PAL22_049,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44,1.11944
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Chaetognath,302,1,PAL22_050,W1,DFZ West,Fish,2022,None,None,None,0,0,0
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Copepod,1859,10,PAL22_046,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Copepod,1859,10,PAL22_047,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,0.70228
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Copepod,1859,10,PAL22_047,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,0.31501
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Copepod,1859,10,PAL22_048,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,0.27385
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Copepod,1859,10,PAL22_048,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Copepod,1859,10,PAL22_049,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44,1.11944
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Copepod,1859,10,PAL22_050,W1,DFZ West,Fish,2022,None,None,None,0,0,0
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Embryo,6,1,PAL22_046,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Embryo,6,1,PAL22_047,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,0.70228
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Embryo,6,1,PAL22_047,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,0.31501
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Embryo,6,1,PAL22_048,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,0.27385
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Embryo,6,1,PAL22_048,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Embryo,6,1,PAL22_049,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44,1.11944
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Embryo,6,1,PAL22_050,W1,DFZ West,Fish,2022,None,None,None,0,0,0
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Evadne,3338,0,PAL22_046,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Evadne,3338,0,PAL22_047,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,0.70228
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Evadne,3338,0,PAL22_047,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,0.31501
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Evadne,3338,0,PAL22_048,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,0.27385
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Evadne,3338,0,PAL22_048,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Evadne,3338,0,PAL22_049,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44,1.11944
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Evadne,3338,0,PAL22_050,W1,DFZ West,Fish,2022,None,None,None,0,0,0
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Fish,80,6,PAL22_046,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Fish,80,6,PAL22_047,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,0.70228
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Fish,80,6,PAL22_047,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,0.31501
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Fish,80,6,PAL22_048,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,0.27385
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Fish,80,6,PAL22_048,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Fish,80,6,PAL22_049,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,7,1119.44,1.11944
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Fish,80,6,PAL22_050,W1,DFZ West,Fish,2022,None,None,None,0,0,0
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Krill,12,1,PAL22_046,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65,6.5e-4
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Krill,12,1,PAL22_047,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28,0.70228
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Krill,12,1,PAL22_047,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01,0.31501
PAL22_10,DFZ West,W1,Zooplankton,Holoplankton,Krill,12,1,PAL22_048,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85,0.27385
