String,Family,Binomial,Common name,Type,Zone,Site,Year,MaxN_string,Total_MaxN_sum,N_rigs_observed,Mean_biomass_g,Total_biomass_g,Mean_biomass_kg,Total_biomass_kg,Samples
PAL22_16,Scombridae,Thunnus sp,tuna,Fish,DFZ West,W4,2022,24,24,1,3337.9,3337.9,3.3379,3.3379,PAL22_076
PAL22_17,Balistidae,Canthidermis maculata,rought triggerfish,Fish,PNMS South,S2,2022,2,3,2,531.125,1062.25,0.531125,1.06225,"PAL22_081, PAL22_083"
PAL22_17,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,Fish,PNMS South,S2,2022,1,1,1,102.29,102.29,0.10229,0.10229,PAL22_082
PAL22_17,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS South,S2,2022,1,3,3,0.203333333,0.61,2.03E-04,6.10E-04,"PAL22_082, PAL22_084, PAL22_085"
PAL22_18,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS South,S2,2022,1,1,1,0.17,0.17,1.70E-04,1.70E-04,PAL22_089
PAL22_18,None,None,None,Fish,PNMS South,S2,2022,0,0,4,0,0,0,0,"PAL22_086, PAL22_087, PAL22_088, PAL22_090"
PAL22_19,Balistidae,Canthidermis maculata,rought triggerfish,Fish,PNMS South,S2,2022,2,3,2,174.05,348.1,0.17405,0.3481,"PAL22_092, PAL22_093"
PAL22_19,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS South,S2,2022,3,4,2,0.085,0.17,8.50E-05,1.70E-04,"PAL22_091, PAL22_093"
PAL22_19,None,None,None,Fish,PNMS South,S2,2022,0,0,2,0,0,0,0,"PAL22_094, PAL22_095"
PAL22_2,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS North,N1,2022,13,13,1,769.98,769.98,0.76998,0.76998,PAL22_007
PAL22_2,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,Fish,PNMS North,N1,2022,79,97,3,2793.213333,8379.64,2.793213333,8.37964,"PAL22_006, PAL22_008, PAL22_009"
PAL22_2,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS North,N1,2022,1,2,2,0.1,0.2,1.00E-04,2.00E-04,"PAL22_006, PAL22_010"
PAL22_20,Carangidae,Caranx sp,Caranx trevally,Fish,PNMS South,S3,2022,1,1,1,8.5,8.5,0.0085,0.0085,PAL22_099
PAL22_20,Istiophoridae,Makaira nigricans,blue marlin,Fish,PNMS South,S3,2022,1,1,1,36646.29,36646.29,36.64629,36.64629,PAL22_100
PAL22_20,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS South,S3,2022,1,2,2,0.42,0.84,4.20E-04,8.40E-04,"PAL22_096, PAL22_098"
PAL22_20,None,None,None,Fish,PNMS South,S3,2022,0,0,1,0,0,0,0,PAL22_097
PAL22_21,None,None,None,Fish,PNMS South,S3,2022,0,0,5,0,0,0,0,"PAL22_101, PAL22_102, PAL22_103, PAL22_104, PAL22_105"
PAL22_22,Carangidae,Caranx sp,Caranx trevally,Fish,PNMS South,S3,2022,2,2,1,9.95,9.95,0.00995,0.00995,PAL22_110
PAL22_22,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS South,S3,2022,8,8,1,17.81,17.81,0.01781,0.01781,PAL22_109
PAL22_22,Carangidae,Selar crumenophthalmus,bigeye scad,Fish,PNMS South,S3,2022,2,2,1,5.93,5.93,0.00593,0.00593,PAL22_109
PAL22_22,Istiophoridae,Makaira nigricans,blue marlin,Fish,PNMS South,S3,2022,1,1,1,36646.29,36646.29,36.64629,36.64629,PAL22_109
PAL22_22,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,Fish,PNMS South,S3,2022,1,1,1,346.95,346.95,0.34695,0.34695,PAL22_106
PAL22_22,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS South,S3,2022,1,1,1,0.12,0.12,1.20E-04,1.20E-04,PAL22_108
PAL22_22,None,None,None,Fish,PNMS South,S3,2022,0,0,1,0,0,0,0,PAL22_107
PAL22_23,Balistidae,Canthidermis maculata,rought triggerfish,Fish,PNMS South,S4,2022,2,3,2,399.985,799.97,0.399985,0.79997,"PAL22_111, PAL22_114"
PAL22_23,Carangidae,Caranx sp,Caranx trevally,Fish,PNMS South,S4,2022,1,1,1,2.25,2.25,0.00225,0.00225,PAL22_111
PAL22_23,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS South,S4,2022,1,1,1,4.6,4.6,0.0046,0.0046,PAL22_111
PAL22_23,None,None,None,Fish,PNMS South,S4,2022,0,0,3,0,0,0,0,"PAL22_112, PAL22_113, PAL22_115"
PAL22_24,Balistidae,Canthidermis maculata,rought triggerfish,Fish,PNMS South,S4,2022,1,2,2,183.06,366.12,0.18306,0.36612,"PAL22_119, PAL22_120"
PAL22_24,Carangidae,Caranx sp,Caranx trevally,Fish,PNMS South,S4,2022,2,3,2,8.075,16.15,0.008075,0.01615,"PAL22_117, PAL22_119"
PAL22_24,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS South,S4,2022,9,10,2,19.745,39.49,0.019745,0.03949,"PAL22_119, PAL22_120"
PAL22_24,None,None,None,Fish,PNMS South,S4,2022,0,0,2,0,0,0,0,"PAL22_116, PAL22_118"
PAL22_25,Carangidae,Caranx sp,Caranx trevally,Fish,PNMS South,S4,2022,1,1,1,4.33,4.33,0.00433,0.00433,PAL22_121
PAL22_25,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS South,S4,2022,5,5,1,11.78,11.78,0.01178,0.01178,PAL22_121
PAL22_25,Coryphaenidae,Coryphaena hippurus,common dolphinfish,Fish,PNMS South,S4,2022,3,6,3,7912.556667,23737.67,7.912556667,23.73767,"PAL22_121, PAL22_122, PAL22_123"
PAL22_25,None,None,None,Fish,PNMS South,S4,2022,0,0,2,0,0,0,0,"PAL22_124, PAL22_125"
PAL22_25,Sphyraenidae,Sphyraena barracuda,great barracuda,Fish,PNMS South,S4,2022,1,1,1,2420.89,2420.89,2.42089,2.42089,PAL22_121
PAL22_26,Carangidae,Caranx sp,Caranx trevally,Fish,PNMS South,S1,2022,3,4,2,10.055,20.11,0.010055,0.02011,"PAL22_128, PAL22_130"
PAL22_26,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS South,S1,2022,16,28,3,28.85333333,86.56,0.028853333,0.08656,"PAL22_126, PAL22_129, PAL22_130"
PAL22_26,Coryphaenidae,Coryphaena hippurus,common dolphinfish,Fish,PNMS South,S1,2022,4,4,1,16078.49,16078.49,16.07849,16.07849,PAL22_130
PAL22_26,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS South,S1,2022,2,2,1,2.44,2.44,0.00244,0.00244,PAL22_127
PAL22_27,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS South,S1,2022,50,118,4,82.6725,330.69,0.0826725,0.33069,"PAL22_132, PAL22_133, PAL22_134, PAL22_135"
PAL22_27,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS South,S1,2022,1,1,1,0.49,0.49,4.90E-04,4.90E-04,PAL22_133
PAL22_27,None,None,None,Fish,PNMS South,S1,2022,0,0,1,0,0,0,0,PAL22_131
PAL22_28,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS South,S1,2022,39,118,4,63.63,254.52,0.06363,0.25452,"PAL22_136, PAL22_137, PAL22_138, PAL22_139"
PAL22_28,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS South,S1,2022,1,1,1,0.09,0.09,9.00E-05,9.00E-05,PAL22_137
PAL22_28,None,None,None,Fish,PNMS South,S1,2022,0,0,1,0,0,0,0,PAL22_140
PAL22_3,None,None,None,Fish,PNMS North,N1,2022,0,0,5,0,0,0,0,"PAL22_011, PAL22_012, PAL22_013, PAL22_014, PAL22_015"
PAL22_4,Balistidae,Canthidermis maculata,rought triggerfish,Fish,PNMS North,N3,2022,5,7,2,1264.46,2528.92,1.26446,2.52892,"PAL22_018, PAL22_019"
PAL22_4,Carangidae,Elagatis bipinnulata,rainbow runner,Fish,PNMS North,N3,2022,1,1,1,142.27,142.27,0.14227,0.14227,PAL22_017
PAL22_4,None,None,None,Fish,PNMS North,N3,2022,0,0,2,0,0,0,0,"PAL22_016, PAL22_020"
PAL22_5,Balistidae,Canthidermis maculata,rought triggerfish,Fish,PNMS North,N3,2022,26,27,2,3694.725,7389.45,3.694725,7.38945,"PAL22_022, PAL22_023"
PAL22_5,None,None,None,Fish,PNMS North,N3,2022,0,0,3,0,0,0,0,"PAL22_021, PAL22_024, PAL22_025"
PAL22_6,Balistidae,Canthidermis maculata,rought triggerfish,Fish,PNMS North,N3,2022,5,11,4,928.8775,3715.51,0.9288775,3.71551,"PAL22_027, PAL22_028, PAL22_029, PAL22_030"
PAL22_6,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS North,N3,2022,51,51,1,2955.09,2955.09,2.95509,2.95509,PAL22_026
PAL22_6,Carangidae,Elagatis bipinnulata,rainbow runner,Fish,PNMS North,N3,2022,1,1,1,142.27,142.27,0.14227,0.14227,PAL22_030
PAL22_6,Coryphaenidae,Coryphaena hippurus,common dolphinfish,Fish,PNMS North,N3,2022,2,2,1,2038.83,2038.83,2.03883,2.03883,PAL22_026
PAL22_6,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS North,N3,2022,1,1,1,0.39,0.39,3.90E-04,3.90E-04,PAL22_028
PAL22_7,Balistidae,Canthidermis maculata,rought triggerfish,Fish,PNMS North,N4,2022,1,4,4,491.03,1964.12,0.49103,1.96412,"PAL22_031, PAL22_032, PAL22_033, PAL22_034"
PAL22_7,None,None,None,Fish,PNMS North,N4,2022,0,0,1,0,0,0,0,PAL22_035
PAL22_8,None,None,None,Fish,PNMS North,N4,2022,0,0,5,0,0,0,0,"PAL22_036, PAL22_037, PAL22_038, PAL22_039, PAL22_040"
PAL22_9,Balistidae,Balistidae sp,triggerfishes,Fish,DFZ West,W1,2022,1,1,1,41.05,41.05,0.04105,0.04105,PAL22_041
PAL22_9,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,Fish,DFZ West,W1,2022,1,1,1,209.59,209.59,0.20959,0.20959,PAL22_043
PAL22_9,Monacanthidae,Aluterus sp,leatherjacket filefish,Fish,DFZ West,W1,2022,1,1,1,196.35,196.35,0.19635,0.19635,PAL22_042
PAL22_9,Nomeidae,Psenes sp,Psenes driftfish,Fish,DFZ West,W1,2022,1,2,2,1.155,2.31,0.001155,0.00231,"PAL22_041, PAL22_044"
PAL22_9,None,None,None,Fish,DFZ West,W1,2022,0,0,1,0,0,0,0,PAL22_045
PAL22_9,Priacanthidae,Priacanthus sp,bigeye,Fish,DFZ West,W1,2022,1,1,1,0.97,0.97,9.70E-04,9.70E-04,PAL22_044
